#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0152	 0.76124	 0.0264	 0.65526	 0	 0
0.019998	 0.0174	 0.43532	 0.0555	 0.69027	 0	 0
0.029997	 0.0607	 1.01190	 0.0891	 0.71188	 0	 0
0.039998	 0.0604	 0.75522	 0.1129	 0.68278	 0	 0
0.049998	 0.0681	 0.68115	 0.1333	 0.64349	 0	 0
0.059998	 0.0925	 0.77093	 0.1522	 0.59866	 0	 0
0.069998	 0.1031	 0.73648	 0.1778	 0.59713	 0	 0
0.079998	 0.1115	 0.69686	 0.2170	 0.63935	 0	 0
0.089998	 0.1302	 0.72317	 0.2451	 0.63380	 0	 0
0.099998	 0.1410	 0.70487	 0.2479	 0.57011	 0	 0
0.010000	 0.0215	 1.07419	 0.1197	 2.98074	 0	 0
0.020000	 0.0148	 0.37014	 0.1278	 1.59502	 0	 0
0.030000	 0.0296	 0.49374	 0.1319	 1.09199	 0	 0
0.040000	 0.0407	 0.50851	 0.1471	 0.90903	 0	 0
0.050000	 0.0375	 0.37487	 0.1668	 0.82704	 0	 0
0.060000	 0.0531	 0.44254	 0.1915	 0.78625	 0	 0
0.070000	 0.0662	 0.47266	 0.1879	 0.65531	 0	 0
0.080000	 0.0550	 0.34378	 0.2054	 0.63245	 0	 0
0.090000	 0.0698	 0.38773	 0.2307	 0.62731	 0	 0
0.100000	 0.0891	 0.44526	 0.2495	 0.60389	 0	 0
0.110000	 0.0741	 0.33670	 0.2585	 0.57498	 0	 0
0.120000	 0.0687	 0.28624	 0.2854	 0.58481	 0	 0
0.130000	 0.0847	 0.32584	 0.2947	 0.55291	 0	 0
0.140000	 0.1194	 0.42658	 0.3344	 0.57167	 0	 0
0.150000	 0.1121	 0.37382	 0.3832	 0.61771	 0	 0
0.160000	 0.1422	 0.44445	 0.4124	 0.61274	 0	 0
0.170000	 0.1524	 0.44821	 0.4475	 0.62391	 0	 0
0.180000	 0.1444	 0.40120	 0.4588	 0.60819	 0	 0
0.190000	 0.1507	 0.39647	 0.4820	 0.60435	 0	 0
0.200000	 0.1478	 0.36946	 0.4710	 0.56140	 0	 0
0.210000	 0.1773	 0.42221	 0.4959	 0.55296	 0	 0
0.220000	 0.1811	 0.41163	 0.5256	 0.55995	 0	 0
0.230000	 0.1813	 0.39403	 0.4966	 0.50408	 0	 0
0.240000	 0.1857	 0.38697	 0.5183	 0.50395	 0	 0
0.250000	 0.1963	 0.39251	 0.5398	 0.50133	 0	 0
0.260000	 0.2047	 0.39363	 0.5827	 0.52000	 0	 0
0.270000	 0.2242	 0.41514	 0.6124	 0.52055	 0	 0
0.280000	 0.2099	 0.37475	 0.6452	 0.53675	 0	 0
0.290000	 0.2058	 0.35488	 0.6585	 0.53113	 0	 0
0.300000	 0.1968	 0.32806	 0.6514	 0.51055	 0	 0
0.310000	 0.2179	 0.35144	 0.6541	 0.48919	 0	 0
0.320000	 0.2266	 0.35404	 0.6903	 0.49919	 0	 0
0.330000	 0.2410	 0.36521	 0.7352	 0.51297	 0	 0
0.340000	 0.2506	 0.36848	 0.7422	 0.49954	 0	 0
0.350000	 0.2670	 0.38149	 0.7825	 0.50802	 0	 0
0.360000	 0.2709	 0.37626	 0.7761	 0.48800	 0	 0
0.370000	 0.2685	 0.36285	 0.8244	 0.50829	 0	 0
0.380000	 0.2852	 0.37522	 0.8413	 0.50000	 0	 0
0.390000	 0.3144	 0.40303	 0.8426	 0.47680	 0	 0
0.400000	 0.3204	 0.40045	 0.8981	 0.49714	 0	 0
0.410000	 0.3172	 0.38686	 0.8815	 0.47613	 1	 1
0.420000	 0.3235	 0.38516	 0.8887	 0.46668	 2	 2
0.430000	 0.3385	 0.39362	 0.9157	 0.46575	 3	 3
0.440000	 0.3551	 0.40356	 0.9288	 0.45604	 4	 4
0.450000	 0.3805	 0.42283	 0.9534	 0.44920	 5	 5
0.460000	 0.4093	 0.44484	 1.0121	 0.45902	 6	 6
0.470000	 0.4048	 0.43065	 1.0187	 0.45472	 7	 7
0.480000	 0.4151	 0.43245	 1.0272	 0.44522	 8	 8
0.490000	 0.4299	 0.43868	 1.0740	 0.45368	 9	 9
0.500000	 0.4363	 0.43629	 1.1104	 0.46003	 10	 10
0.510000	 0.4564	 0.44750	 1.1571	 0.46507	 11	 11
0.520000	 0.4704	 0.45230	 1.1753	 0.45868	 12	 12
0.530000	 0.4911	 0.46326	 1.1889	 0.44706	 13	 13
0.540000	 0.5083	 0.47062	 1.2123	 0.44164	 14	 14
0.550000	 0.5112	 0.46472	 1.2421	 0.44580	 15	 15
0.560000	 0.4937	 0.44082	 1.2077	 0.43034	 16	 16
0.570000	 0.4951	 0.43428	 1.1980	 0.41793	 17	 17
0.580000	 0.4928	 0.42482	 1.2172	 0.41997	 18	 18
0.590000	 0.5025	 0.42589	 1.2636	 0.42842	 19	 19
0.600000	 0.5205	 0.43371	 1.3091	 0.43261	 20	 20


Average of all Threads:

msd = 1.03827	 meanspd = 0.86743	 mu = 0.43371	 deff = 0.43261

