#time	 xpos	 ypos
0.00004	0.25406	 0.43806	0.42132	 0.32848	0.23479	 -0.43147	0.36837	 0.41721	0.44204	 -0.28349	0.08402	 -0.35711	0.36902	 0.12894	0.47526	 -0.14368	0.08434	 -0.00841	0.56175	 0.19097	0.16454	 0.49932	0.18883	 -0.14275	0.56963	 -0.07563	0.46929	 0.12253	0.19487	 -0.25506	0.09394	 0.24134	0.33633	 -0.33053	0.33578	 -0.59751	0.23761	 0.60855	0.31547	 -0.16911	
0.00007	0.26109	 0.42475	0.40917	 0.31483	0.21846	 -0.43709	0.38789	 0.43541	0.45104	 -0.29508	0.07845	 -0.36660	0.35164	 0.13251	0.47815	 -0.15503	0.08501	 -0.00583	0.56128	 0.19885	0.17842	 0.49748	0.20605	 -0.14315	0.55993	 -0.07124	0.45541	 0.11651	0.18891	 -0.24721	0.09742	 0.25058	0.32516	 -0.33433	0.31421	 -0.60478	0.21869	 0.64460	0.32885	 -0.15905	
0.00011	0.28973	 0.42852	0.41169	 0.33051	0.21812	 -0.43200	0.39788	 0.43631	0.45574	 -0.29521	0.07166	 -0.37324	0.34155	 0.13360	0.47455	 -0.15685	0.07057	 -0.01607	0.55524	 0.17754	0.18677	 0.49332	0.19411	 -0.12746	0.56052	 -0.06703	0.46415	 0.10545	0.16992	 -0.24897	0.09479	 0.26157	0.33066	 -0.33422	0.33065	 -0.61893	0.22599	 0.66878	0.31896	 -0.13467	
0.00015	0.26943	 0.42066	0.42720	 0.33079	0.21038	 -0.42060	0.41016	 0.43919	0.42884	 -0.30702	0.08304	 -0.37444	0.34009	 0.13972	0.48756	 -0.13853	0.07543	 -0.01151	0.56827	 0.18293	0.17986	 0.48505	0.19989	 -0.13245	0.55462	 -0.05870	0.44435	 0.11632	0.15155	 -0.26343	0.09462	 0.27568	0.32806	 -0.31633	0.32422	 -0.63997	0.23806	 0.68794	0.32419	 -0.11485	
0.00018	0.27868	 0.43622	0.40325	 0.31679	0.21358	 -0.43276	0.42269	 0.43673	0.43742	 -0.29849	0.05764	 -0.37100	0.33896	 0.14408	0.47581	 -0.15260	0.09427	 0.00151	0.57505	 0.18616	0.17092	 0.50839	0.20880	 -0.13148	0.56488	 -0.05985	0.44523	 0.12895	0.13508	 -0.26955	0.07689	 0.28897	0.33546	 -0.31383	0.31617	 -0.64019	0.23877	 0.68968	0.34236	 -0.11861	
0.00022	0.26424	 0.42890	0.42872	 0.31197	0.21975	 -0.44819	0.41328	 0.43569	0.43066	 -0.28635	0.06292	 -0.36485	0.34979	 0.14017	0.48632	 -0.14375	0.10748	 0.01110	0.56760	 0.18877	0.16840	 0.49760	0.20606	 -0.13284	0.56765	 -0.07169	0.45141	 0.13136	0.12933	 -0.27104	0.08244	 0.30481	0.32081	 -0.31104	0.30371	 -0.66283	0.24204	 0.68667	0.33459	 -0.12353	
0.00026	0.27771	 0.44012	0.44043	 0.30689	0.23423	 -0.45373	0.39464	 0.42710	0.45118	 -0.28834	0.06943	 -0.36178	0.33846	 0.14640	0.46026	 -0.14981	0.11220	 0.02993	0.57403	 0.18448	0.15556	 0.51189	0.19862	 -0.12569	0.54132	 -0.06853	0.46689	 0.10919	0.14621	 -0.27203	0.07892	 0.30668	0.29932	 -0.31401	0.30836	 -0.67294	0.26749	 0.68677	0.33436	 -0.11021	
0.00029	0.29701	 0.45007	0.44104	 0.28986	0.22885	 -0.45358	0.41141	 0.42918	0.45684	 -0.29044	0.08048	 -0.37210	0.33764	 0.15546	0.45346	 -0.16764	0.10113	 0.03994	0.56142	 0.18300	0.14964	 0.51928	0.19616	 -0.12878	0.55579	 -0.07064	0.45035	 0.10869	0.12576	 -0.27776	0.06775	 0.27968	0.28424	 -0.29132	0.29504	 -0.66886	0.26855	 0.67469	0.32171	 -0.10693	
0.00033	0.32632	 0.45893	0.43336	 0.29979	0.22043	 -0.46064	0.41529	 0.40744	0.46770	 -0.31657	0.09753	 -0.36713	0.33809	 0.17441	0.46738	 -0.16677	0.12187	 0.04891	0.54295	 0.17148	0.14329	 0.51549	0.19179	 -0.12500	0.55555	 -0.06265	0.45224	 0.11337	0.12221	 -0.24883	0.06953	 0.30001	0.27880	 -0.30758	0.30474	 -0.66762	0.24933	 0.67006	0.31695	 -0.10316	
0.00037	0.30379	 0.46022	0.43763	 0.30324	0.23265	 -0.46293	0.44053	 0.42423	0.46772	 -0.33049	0.10492	 -0.36223	0.33036	 0.16584	0.46160	 -0.17438	0.13024	 0.03592	0.53863	 0.16931	0.14034	 0.51502	0.20215	 -0.16297	0.56226	 -0.07895	0.43919	 0.12182	0.09912	 -0.26058	0.06081	 0.31337	0.27493	 -0.30700	0.29836	 -0.68248	0.24856	 0.67341	0.31894	 -0.11153	
0.00040	0.29991	 0.47238	0.43996	 0.30936	0.22220	 -0.45669	0.44141	 0.43299	0.46266	 -0.34051	0.11205	 -0.36207	0.33322	 0.16841	0.47465	 -0.15897	0.13296	 0.01034	0.54175	 0.15667	0.15110	 0.50308	0.21796	 -0.15676	0.57650	 -0.07988	0.43147	 0.13186	0.08909	 -0.25991	0.06564	 0.32493	0.25721	 -0.28953	0.28845	 -0.68352	0.25788	 0.66192	0.32788	 -0.11863	
0.00044	0.32048	 0.48389	0.43242	 0.29184	0.24057	 -0.44787	0.42846	 0.41659	0.47527	 -0.34497	0.12206	 -0.36872	0.31995	 0.15371	0.49643	 -0.15607	0.12734	 -0.00412	0.56206	 0.17035	0.16282	 0.50539	0.23543	 -0.16901	0.57597	 -0.06323	0.41893	 0.13245	0.08502	 -0.26351	0.05880	 0.34406	0.26238	 -0.29965	0.31195	 -0.66563	0.25942	 0.65694	0.32893	 -0.12933	
0.00048	0.30863	 0.47363	0.46084	 0.27092	0.23529	 -0.43779	0.44006	 0.40040	0.49299	 -0.34026	0.11823	 -0.36068	0.30896	 0.14524	0.48352	 -0.14337	0.11144	 -0.00993	0.55667	 0.18441	0.15138	 0.49075	0.22744	 -0.19047	0.56675	 -0.04162	0.41669	 0.14952	0.07817	 -0.26461	0.06377	 0.34381	0.26554	 -0.29453	0.30480	 -0.67624	0.28412	 0.65510	0.32578	 -0.11949	
0.00051	0.29894	 0.47411	0.45705	 0.25268	0.22256	 -0.43630	0.45429	 0.41370	0.48695	 -0.35108	0.10301	 -0.36252	0.31010	 0.13795	0.50402	 -0.16447	0.10069	 -0.01929	0.56577	 0.19405	0.15650	 0.49989	0.21376	 -0.19891	0.56143	 -0.02789	0.40776	 0.16200	0.08634	 -0.25234	0.06681	 0.35418	0.26544	 -0.29914	0.29793	 -0.67511	0.30407	 0.64183	0.34049	 -0.12909	
