1.50000		0.09000		1.560000	0.050000
1.450000	0.050000	1.500000	0.000000	
1.438190	0.034844	1.476135	-0.010532	
1.424113	0.013372	1.452896	-0.051017	
1.400696	-0.008744	1.455158	-0.099408	
1.427472	-0.003967	1.472978	-0.099467	
1.424675	0.003733	1.519187	-0.089986	
1.415523	-0.001027	1.560208	-0.099204	
1.385440	0.012424	1.567776	-0.122278	
1.365702	0.001046	1.599647	-0.104153	
1.371919	0.058146	1.574965	-0.064137	
1.354634	0.061546	1.586026	-0.119176	
1.401435	0.026396	1.581351	-0.117687	
1.390743	0.008435	1.603006	-0.143992	
1.392247	0.054159	1.600028	-0.145203	
1.391621	0.055897	1.554352	-0.100649	
1.378365	0.061357	1.574205	-0.094215	
1.402122	0.006147	1.539254	-0.097438	
1.410592	0.011794	1.565614	-0.117535	
1.409669	0.015434	1.526737	-0.063861	
1.462697	0.032259	1.515848	-0.088672	
1.444973	0.025713	1.536681	-0.119328	
1.420441	0.054725	1.562937	-0.150177	
1.378966	0.067218	1.527415	-0.149832	
1.347745	0.100871	1.540545	-0.113787	
1.358871	0.091174	1.555624	-0.116279	
1.352671	0.114353	1.519625	-0.091554	
1.366101	0.130270	1.490605	-0.107349	
1.363288	0.126386	1.476346	-0.119313	
1.342153	0.090739	1.488811	-0.099739	
1.381228	0.096098	1.519655	-0.151846	
1.379507	0.074894	1.497331	-0.101999	
1.398795	0.064053	1.497634	-0.087444	
1.373592	0.089935	1.506174	-0.062233	
1.364299	0.104347	1.480440	-0.116608	
1.375008	0.092479	1.499057	-0.128050	
1.373607	0.067559	1.453002	-0.111720	
1.343339	0.070602	1.453260	-0.072966	
1.318345	0.074891	1.457334	-0.012102	
1.332123	0.109407	1.476133	-0.017328	
1.346332	0.098532	1.520864	-0.014693	
1.320901	0.085536	1.550475	-0.071107	
1.261979	0.069875	1.570016	-0.091911	
1.255493	0.050696	1.629608	-0.087122	
1.248002	0.053460	1.631167	-0.092199	
1.295210	0.044806	1.692315	-0.066026	
1.296472	0.072711	1.683745	-0.069942	
1.324011	0.039755	1.687394	-0.081894	
1.315523	0.044650	1.669331	-0.118703	
1.325762	0.046018	1.656394	-0.073793	
1.333825	0.046001	1.633017	-0.056055	
1.371881	0.060305	1.622106	-0.054458	
1.387003	0.063134	1.666307	-0.043545	
1.421863	0.069374	1.672158	0.004813	
1.423730	0.018906	1.705627	0.006153	
1.432990	0.049655	1.714450	-0.012960	
1.424574	0.027036	1.721671	-0.020050	
1.418561	0.001632	1.738298	-0.015948	
1.414614	0.034118	1.753001	-0.027380	
1.385622	0.044059	1.782435	-0.014103	
1.395332	0.018788	1.770792	-0.025029	
1.361482	0.016594	1.734630	-0.070495	
1.397334	-0.003484	1.715204	-0.080447	
1.388405	-0.007795	1.740127	-0.061019	
1.350166	-0.035518	1.777288	-0.036216	
1.378452	-0.022910	1.815340	-0.059591	
1.390314	-0.013242	1.846370	-0.061409	
1.396249	-0.038495	1.874999	-0.064325	
1.402234	-0.005197	1.927714	-0.028668	
1.389882	0.027350	1.892815	-0.063485	
1.394731	0.050689	1.843268	-0.035489	
1.406777	0.042855	1.899295	-0.019073	
1.437782	0.048494	1.913031	0.000411	
1.411983	0.073631	1.969880	0.027599	
1.431448	0.070809	1.961976	0.035520	
1.451393	0.041196	1.972693	0.013076	
1.423149	0.026218	1.983238	-0.004935	
1.424117	-0.001190	2.008855	0.036921	
1.393957	0.002642	2.040177	0.034324	
1.373212	-0.014603	2.052309	0.053384	
1.364149	-0.030580	2.035321	0.036688	
1.396438	-0.003490	2.079316	0.019181	
1.430764	-0.014745	2.117443	0.063807	
1.451485	0.006061	2.083881	0.012781	
1.402295	0.035208	2.062363	0.021505	
1.395642	0.020745	2.046163	0.013467	
1.389710	0.007529	2.049972	0.010150	
1.410844	-0.029082	2.028943	0.012497	
1.411660	-0.049419	2.050568	0.048637	
1.424402	-0.031709	2.017510	0.045023	
1.399742	-0.027628	2.036058	-0.016413	
1.390604	-0.009948	2.045238	-0.053220	
1.408032	0.004928	2.034083	-0.053871	
1.416863	0.051836	2.022153	0.016936	
1.416919	0.040695	2.044511	0.030163	
1.388369	0.009798	2.072385	0.016029	
1.373807	0.025465	2.083920	0.044688	
1.337933	-0.036539	2.116817	0.018407	
1.333434	-0.021550	2.116438	-0.026758	
1.359586	0.022309	2.112782	-0.040086	
1.331983	0.025622	2.104488	-0.032226	
1.333935	0.053778	2.091807	-0.020016	
1.296172	0.054849	2.075360	-0.072133	
1.329217	0.025501	2.092315	-0.080902	
1.355120	0.028665	2.181988	-0.063792	
1.308248	0.071877	2.150151	-0.102884	
1.294700	0.057521	2.147043	-0.099558	
1.292702	0.085603	2.126382	-0.130198	
1.286034	0.092258	2.145395	-0.079598	
1.318777	0.075155	2.112453	-0.063559	
1.361121	0.095348	2.086172	-0.071645	
1.362006	0.098299	2.105705	-0.050552	
1.355446	0.098301	2.063029	-0.075599	
1.317666	0.105181	2.060128	-0.070382	
1.328478	0.129089	2.079062	-0.035072	
1.354006	0.135862	2.073145	-0.049085	
1.404007	0.166493	2.096303	-0.072338	
1.428121	0.140252	2.092335	-0.058210	
1.451684	0.129925	2.063057	-0.015761	
1.427356	0.153493	2.106913	0.032475	
1.424849	0.122366	2.147431	0.046435	
1.444592	0.140535	2.155279	0.067729	
1.451110	0.152635	2.195127	0.058291	
1.429753	0.104723	2.184735	0.048450	
1.417975	0.142661	2.191726	0.024394	
1.426114	0.110967	2.209536	0.040281	
1.389960	0.100038	2.230018	0.073186	
1.382353	0.124276	2.231425	0.056419	
1.371287	0.086712	2.212511	0.041785	
1.345391	0.070947	2.199333	0.032825	
1.341836	0.050846	2.217784	-0.018359	
1.340716	0.061445	2.218064	-0.019556	
1.356578	0.129624	2.213655	-0.033118	
1.397987	0.147730	2.202031	0.004461	
1.428506	0.152177	2.192569	0.006243	
1.391887	0.178681	2.204688	-0.080653	
1.425590	0.155839	2.176609	-0.087478	
1.452617	0.148292	2.211357	-0.114301	
1.433843	0.187364	2.280042	-0.109941	
1.479311	0.206159	2.314312	-0.073089	
1.469575	0.247876	2.329919	-0.126190	
1.403598	0.249307	2.301438	-0.086099	
1.385719	0.217516	2.296750	-0.073780	
1.392023	0.217099	2.328705	-0.104404	
1.372017	0.202273	2.287542	-0.137479	
1.401762	0.243475	2.242868	-0.126683	
1.423835	0.257182	2.224607	-0.081666	
1.429928	0.278372	2.218994	-0.071023	
1.416088	0.220905	2.211027	-0.105935	
1.430652	0.224367	2.245172	-0.108853	
1.403153	0.245130	2.223501	-0.140199	
1.380045	0.237406	2.258948	-0.133359	
1.333529	0.248067	2.250124	-0.155764	
1.350360	0.221169	2.242465	-0.207201	
1.338348	0.238155	2.297271	-0.282127	
1.377158	0.265803	2.298827	-0.289132	
1.361553	0.318371	2.337386	-0.290477	
1.309045	0.269601	2.323935	-0.328477	
1.245661	0.255959	2.274471	-0.306445	
1.281565	0.233740	2.313436	-0.337129	
1.260024	0.210055	2.326099	-0.314824	
1.251811	0.258331	2.299798	-0.359472	
1.219772	0.251551	2.297434	-0.359762	
1.204564	0.250897	2.273320	-0.344098	
1.186513	0.274408	2.303465	-0.377023	
1.178444	0.271475	2.299780	-0.367937	
1.147501	0.335183	2.339601	-0.384335	
1.162245	0.293800	2.297370	-0.348217	
1.164115	0.279647	2.360461	-0.340336	
1.120754	0.292324	2.384467	-0.332288	
1.134129	0.295322	2.362418	-0.318405	
1.169339	0.278736	2.367763	-0.306100	
1.127253	0.261811	2.356007	-0.336255	
1.153339	0.272934	2.372684	-0.340478	
1.168108	0.256463	2.446241	-0.319625	
1.170638	0.276284	2.518839	-0.362603	
1.153369	0.254741	2.455050	-0.394474	
1.115027	0.291974	2.525890	-0.411227	
1.115836	0.262517	2.519585	-0.397638	
1.108034	0.311512	2.534057	-0.416397	
1.102442	0.316366	2.530357	-0.436463	
1.127536	0.321966	2.549260	-0.417967	
1.119073	0.374769	2.552567	-0.390352	
1.099107	0.347954	2.539637	-0.391264	
1.089129	0.324749	2.585397	-0.384786	
1.095355	0.333448	2.556320	-0.394964	
1.082411	0.366564	2.532878	-0.387883	
1.055770	0.402242	2.556158	-0.392370	
1.063391	0.371689	2.580953	-0.381807	
1.069218	0.377014	2.580450	-0.348757	
1.090346	0.387721	2.573300	-0.372344	
1.108522	0.369079	2.617375	-0.307264	
1.128637	0.412098	2.599095	-0.262998	
1.109328	0.444731	2.608090	-0.284163	
1.106414	0.474111	2.656564	-0.309395	
1.068444	0.447049	2.659657	-0.291868	
1.078779	0.451451	2.678864	-0.306152	
1.061214	0.434397	2.657701	-0.299649	
1.068814	0.438086	2.661890	-0.315377	
1.092455	0.463710	2.693830	-0.284553	
1.069547	0.428684	2.667400	-0.283529	
1.076204	0.413415	2.691728	-0.286264	
1.061758	0.395414	2.684283	-0.297173	
1.061825	0.411664	2.665546	-0.291077	
1.061927	0.443575	2.653385	-0.313693	
1.095016	0.428580	2.658732	-0.286252	
1.097956	0.455494	2.679872	-0.271686	
1.113833	0.438928	2.725666	-0.273179	
1.128349	0.451033	2.706910	-0.288618	
1.127269	0.495201	2.685396	-0.283210	
1.118419	0.460637	2.682375	-0.276701	
1.066487	0.463412	2.666152	-0.255500	
1.096652	0.440484	2.694122	-0.263057	
1.109390	0.472985	2.717316	-0.212107	
