#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 0.209436	 -0.00022
0.019998	 0.223830	 -0.00029
0.029997	 -0.452630	 0.00538
0.039998	 0.138178	 -0.00065
0.049998	 0.300073	 -0.00204
0.059998	 0.513361	 -0.00770
0.069998	 0.573452	 0.01450
0.079998	 0.550671	 0.01564
0.089998	 0.625863	 0.02001
0.099998	 0.884212	 0.02457
0.010000	 3.907914	 0.00470
0.020000	 2.151762	 0.00902
0.030000	 1.607095	 0.01398
0.040000	 1.222486	 0.02479
0.050000	 1.114866	 0.04441
0.060000	 1.402272	 0.05730
0.070000	 1.425869	 0.07791
0.080000	 1.315320	 0.08009
0.090000	 1.354384	 0.10734
0.100000	 1.340802	 0.10596
0.110000	 1.169998	 0.15193
0.120000	 1.183660	 0.18907
0.130000	 1.067431	 0.18680
0.140000	 1.213199	 0.14591
0.150000	 1.027726	 0.21871
0.160000	 1.181938	 0.21447
0.170000	 1.083922	 0.15379
0.180000	 1.058976	 0.20693
0.190000	 1.092707	 0.26797
0.200000	 1.122501	 0.23009
0.210000	 1.148705	 0.27151
0.220000	 1.155598	 0.29924
0.230000	 1.189970	 0.31610
0.240000	 1.147166	 0.37367
0.250000	 1.201125	 0.37701
0.260000	 1.189244	 0.39490
0.270000	 1.151278	 0.40825
0.280000	 1.203598	 0.39891
0.290000	 1.239769	 0.45304
0.300000	 1.221519	 0.39492
0.310000	 1.159559	 0.43929
0.320000	 1.139536	 0.45210
0.330000	 1.144619	 0.48499
0.340000	 1.172529	 0.50369
0.350000	 1.167871	 0.59414
0.360000	 1.157024	 0.55335
0.370000	 1.077400	 0.58166
0.380000	 1.109674	 0.65650
0.390000	 1.105962	 0.67688
0.400000	 1.062656	 0.68489
0.410000	 1.032317	 0.68087
0.420000	 1.011865	 0.61297
0.430000	 1.041692	 0.61168
0.440000	 1.069001	 0.68024
0.450000	 1.040218	 0.72080
0.460000	 1.012281	 0.76914
0.470000	 1.014655	 0.77731
0.480000	 1.019949	 0.84970
0.490000	 1.040883	 0.96648
0.500000	 1.025803	 0.98394
0.510000	 1.006405	 0.94943
0.520000	 0.978354	 0.88830
0.530000	 0.987884	 0.88503
0.540000	 0.996409	 0.87861
0.550000	 0.999192	 0.86086
0.560000	 1.043455	 0.84940
0.570000	 1.033886	 0.83535
0.580000	 0.996391	 0.83899
0.590000	 0.991552	 0.77783
0.600000	 0.972141	 0.80614


Average of all Threads:

meanx = 0.58328	 meanxsqu = 1.50333	 mthree = 0.80614

