#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.001247	 0.0207	 16.60835	 0.8304	  0
0.002497	 0.0436	 17.44386	 0.8722	  0
0.003747	 0.0603	 16.09375	 0.8047	  0
0.004997	 0.0755	 15.10912	 0.7555	  0
0.006247	 0.0921	 14.74527	 0.7373	  0
0.007497	 0.1084	 14.46479	 0.7232	  0
0.008748	 0.1224	 13.99227	 0.6996	  0
0.009998	 0.1401	 14.01385	 0.7007	  0
0.011248	 0.1579	 14.03895	 0.7019	  0
0.012498	 0.1702	 13.61485	 0.6807	  0
0.013748	 0.1848	 13.44051	 0.6720	  0
0.014998	 0.2026	 13.51219	 0.6756	  0
0.016248	 0.2151	 13.23904	 0.6620	  0
0.017498	 0.2302	 13.15419	 0.6577	  0
0.018748	 0.2457	 13.10605	 0.6553	  0
0.001250	 0.0144	 11.53137	 0.5766	  0
0.002500	 0.0285	 11.38991	 0.5695	  0
0.003750	 0.0442	 11.79543	 0.5898	  0
0.005000	 0.0609	 12.18291	 0.6091	  0
0.006250	 0.0768	 12.29004	 0.6145	  0
0.007500	 0.0927	 12.35782	 0.6179	  0
0.008750	 0.1125	 12.85566	 0.6428	  0
0.010000	 0.1290	 12.90078	 0.6450	  0
0.011250	 0.1432	 12.72642	 0.6363	  0
0.012500	 0.1578	 12.62618	 0.6313	  0
0.013750	 0.1738	 12.63675	 0.6318	  0
0.015000	 0.1949	 12.99207	 0.6496	  0
0.016250	 0.2093	 12.88139	 0.6441	  0
0.017500	 0.2272	 12.98517	 0.6493	  0
0.018750	 0.2405	 12.82770	 0.6414	  0
0.020000	 0.2576	 12.88135	 0.6441	  0
0.021250	 0.2721	 12.80505	 0.6403	  0
0.022500	 0.2865	 12.73458	 0.6367	  0
0.023750	 0.3041	 12.80404	 0.6402	  0
0.025000	 0.3202	 12.80755	 0.6404	  0
0.026250	 0.3378	 12.86843	 0.6434	  0
0.027500	 0.3554	 12.92533	 0.6463	  0
0.028750	 0.3729	 12.97109	 0.6486	  0
0.030000	 0.3916	 13.05177	 0.6526	  0
0.031250	 0.4091	 13.09093	 0.6545	  0
