#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 0.394262	 -0.00006
0.019998	 -0.552640	 0.00163
0.029997	 0.211134	 -0.00234
0.039998	 0.463980	 -0.00397
0.049998	 0.412256	 -0.00407
0.059998	 0.273741	 -0.00324
0.069998	 0.581041	 0.01117
0.079998	 0.693817	 0.01424
0.089998	 0.767441	 0.01797
0.099998	 0.905898	 0.02080
0.010000	 -1.186060	 -0.00419
0.020000	 -0.533569	 -0.00791
0.030000	 -0.400450	 -0.00694
0.040000	 -0.033022	 -0.00329
0.050000	 0.128690	 -0.00670
0.060000	 0.285289	 -0.00110
0.070000	 0.633604	 0.01966
0.080000	 0.489919	 0.02750
0.090000	 0.614902	 0.03390
0.100000	 0.337125	 0.03215
0.110000	 0.517635	 0.02853
0.120000	 0.495185	 0.03273
0.130000	 0.450444	 0.01911
0.140000	 0.500204	 0.02111
0.150000	 0.533665	 -0.00382
0.160000	 0.630293	 0.01822
0.170000	 0.630002	 0.03815
0.180000	 0.687471	 0.04816
0.190000	 0.654339	 0.04357
0.200000	 0.752558	 0.04638
0.210000	 0.750123	 0.04883
0.220000	 0.819099	 0.04820
0.230000	 0.845415	 0.05453
0.240000	 0.893941	 0.05386
0.250000	 0.841272	 0.01109
0.260000	 0.808365	 0.06538
0.270000	 0.822263	 0.09115
0.280000	 0.817339	 0.10399
0.290000	 0.825475	 0.06872
0.300000	 0.848092	 0.10112
0.310000	 0.806445	 0.15587
0.320000	 0.811053	 0.16540
0.330000	 0.792831	 0.12291
0.340000	 0.792383	 0.19727
0.350000	 0.750841	 0.17072
0.360000	 0.746449	 0.15935
0.370000	 0.767338	 0.16330
0.380000	 0.678685	 0.19729
0.390000	 0.682010	 0.21193
0.400000	 0.689410	 0.23190
0.410000	 0.731268	 0.16659
0.420000	 0.692832	 0.11979
0.430000	 0.700754	 0.10560
0.440000	 0.693917	 0.09752
0.450000	 0.692083	 0.11175
0.460000	 0.736885	 0.08313
0.470000	 0.730160	 0.11689
0.480000	 0.762035	 0.12977
0.490000	 0.807097	 0.09553
0.500000	 0.795025	 0.09423
0.510000	 0.778221	 0.15764
0.520000	 0.779621	 0.14620
0.530000	 0.768761	 0.23297
0.540000	 0.775387	 0.24518
0.550000	 0.773136	 0.21212
0.560000	 0.823431	 0.24853
0.570000	 0.830513	 0.24437
0.580000	 0.835415	 0.23047
0.590000	 0.822307	 0.25817
0.600000	 0.835408	 0.23640


Average of all Threads:

meanx = 0.50124	 meanxsqu = 1.18527	 mthree = 0.23640

