#time	 meanx: <x>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.019998	 1.545757	 0.05968	 0.00599	 -422780360928193841788137819875288327335702531608853905769187452800865986276643439059551608276462322255187666041853867724038445314494784922504996277538952660736534896124359634155747292648956132430389560109558126185778224633994875876885426354897247105684357074352582930131846037807417997394520492141874019374047442234491781317547880610776893562216807193668876801885883092411180097009214187329331498038258640696267291875638846829294006996689088487030666155346818179910931427997448691819025329415507327616458825194800198217262817470565126777567432785747703802141617478870780586823194885370464086088660450804574408660759009500049433457185361146309910427169292169223104331172415300946057372766727585235082763975726924245375489615392234683739995505114959389558103312458184995983738972772098113821059485896572276937136926138862072999021809423689468675401242806018532363888660730720327665476525396778827175855181774006130452513287359347034556748372102322975407595073371214545222968179104460948058514131491953773767548029028430995353811918958041168472260832829502987331509944320.00000
0.029997	 1.033191	 0.08348	 0.00883	 -165946320891044664833656803923758846402154232334649547922012453850175478116461116148578550147232821505462127032698289341603361547033530280468207365162091362208585911714562928071535947322946655762862116599956572728755382280239982497368214177761523532880660832896657764100858054625158860992162218192357998441416600444639936291273210263258371453501611468724359107392526519025263882128918963901654310485963866516378521831273678870910593854529634350794928621952471468426349113672738184481391508617590604078921631888622449034755834195556949145702675108321076318689473910098189752968580813635797521175590283186912599056057059365742840697932339567971207898022506928446874875011800704603692515100211653772578686985611446829234039045650874038117364467742419503467130147648701562583962920494007700052279670041486556017918334721760303132302804292634832727841322385963444270411869622303916443067530984845086639818352339610681548022127434830407268530290572818282166652351495051262332632866863242312275469091397531343403565284573368732215713281558775340394310294189291315167315911215137314256317498596318381232359685877311821191115926933144655985593582993191715398478195108810359368781712195561535501200142979012936738733096201782884644651450236045570170309806905996972576176919657890246763048015714190775638684899806692551170339781845629470919563488429903373916609271265122887141514321763265298661153744498474646574424352327058003402814415090967452002188993391713300421575140239636020896655481415712151644725379835048575840018235392000.00000
0.039998	 1.329431	 0.10252	 0.00696	 -26500011371908486535425219326196363189930096465962238032232419669738346626685685965520283811635868176211242307804962686366213113685018331880141330422908080000660233623279594606125582731146618375823005097898498623391710393452873246519177889293116401767472216476757961547237630176767743546352156145131960463359370612324209153021727507790368111665836264335112610515099569994850381175619290422775502178193081271214309401745702597794126025798834893323560865748889263461513170982549719332055631043407583905955566952886524537070307734408692775569763143217356708900862912058739921382196030360885026358400700730657860560182763862866832593107903123945794208689164796540500154013003011078774606792812790617047335765126030378590625682774130019513601814031287992181336008357826248629366045059710113300697400213571194257333063697094285750272402903971869273607994337071185069840119797838421632163097683671617033608645655207997360397356252379046457461559181740887071863246657269774819383496857897169122626128446373959543357676619601944864946240844207976755544035752633327962629940186541510958176680521077757114501385671904994897678588995691511511777872777737632000802101360464981273040201086151294879186077800430426066538689618586113898577819635982644133563840742300956567898588793924129827685136192491573248386040216198069798027831797788412374058256126322388404023059586152929703918271225125168354122619663137221761203300439387661238903761486221312554535123355008060533054577551148403167522624734962923047549521555386567361428710210436337724008088431820502653595905592161598125967440747695139738185953041782876342588495320098048598518321711197600865364837187390415134773853212398407791431396904022450011368044474142200643548872968791630651923612569115876380389377228553955229536953036559429028916835787160579424210739168509717483479642963332181393087391670119116441146862250745507671268015645632702622552051818907507832171685510377972124693120130961611883885327805440648139009044589119475823329167502216418384146441490358235797365235038965633266860402208756078852402608281930776251218795151964728838648406083603510971315130200007747803171939241981775048797134334293298216187039287556798167594697254642268532795255384746608142493931111753433967125489589474975237976896345132565211872374731593296655095171053093636990780846768886737401089465597967529605506683124441115142097595900495830962109040856161891449390074916348402944060453130132762447972564126978456958423159545800257120035139917041513097560460329970136862665350080758034426914635804604079484689553099518701679385939156632179579528288974603454154068460794320827552746836729466681513345115032101878345761394230685735961890440650561092304214609157741292291697558774264739745797309597267641460964487034341088230957254832651039214821275180728757567330024131386439518185218344562086142793492577450557137020349956608392965078953787434861912064074540753461839891488377542104601990519010753304002726317328515411705590210040574491471502505056685394937853441714034925769553528211200858335473475804367010844996470043189318723197671193293611193862088219495087953585775770206284777397716552253180439533919908538532822724133548067794462236980741846388397668312384199582909531149688991216897983163953908575201241037237396925242252951364381723669133789213503384507963243138746310123658613100391084185300445433021585125446682064553039634698748775825138037695403066831676523818841338026343140588969757733848225231287215429422594626525570449645590699619615506641205401289142636308872764910666074229217936036446716875030484360886764582659563892038343203019828253070532317558637165495220583354942802285504637852575747650056028711339609720591880541783897988546361418381210335178822691314554953437391339781455205978988976566594543206609640970820286715822394517823841261762895190352893843683233577246384702933168755255811182665214629438159148139670361667553136939122117854317693492787649232961580901805036195379913819936755393060647673065586500327581115314339840.00000
0.049998	 1.490959	 0.12343	 0.00693	 86773605686212851875972399872675678845422495926182427678061746620318994595710993087176659971517878741933362081748881812403369790044225327275593583261785055136254364719407134880294027994209808166764869112440351944757359480290739099394067951014815235390496770586702772238554651375354499540196421837864572153806786166122472022855309901063595578989761097009893837827866654908071146856260652829600856706916398558052010838020327006857090061285684227787311907238600762190835967110081683092797518853539275063649715237893425704971556772246037734643501438253506950603794707789899234823783011079655340719850978926600335640674192325850203091992140855187472089485141686611107047289607999644588018611458192171553286059575377845909576558367662640810590832749279657520152606825881208745499401621479700456080005494270421481757620406525244388183215569780380869539101941513430528692218352313131914478028530896330140081849651901872403868216916654922031435888243486100869085358881486159876200229080982042777147975083792235098896413828265849441545294125955440014612740067789226479548817188100683403951550114466268122568532462480210564757830958441541173515734847930554497012477319538951878511802388059610861899438443484625822715974738462013202277394227998023867661742961827193613400579038006601163727549871092760064308262590153596864299033328576493134845889646899612622816457257437881895557755249473676216314121502135870570982390267834767447259970227998450836531067074355116956406276505775775491815834985644460496596525122982770550457308694309355791183791427398260164776098200012981134607653225082732184202314961266544175277260420570950926256815361358387255969019091273019367946936753819033186986057096527256974917988103155167413442064313890707519930906885221523587290982999403626185787448751983755161140159520587320800356531360394332915214275463262524068591218947577917030541654871719751813544415503919633194482180181376616210065703741295680553307273634941783629521833238886323415192413516389618976673299874567162742192828438069530043643020168918036683115055175973750790818061873561436308437185512991775764897001643402955352478480956673005931433351182638235090241604655299342249499219983355691607089741202088359192333044201917860848565343960813538403872934803179309866471077180831916053045609345236785894749701516478037319605487498352640188892003540385783113760673811525011266331642819980088661802094544446706648472697442379684207145486425810470492121108316602023045975950433898298853314484502231471567617543074357929641112238785203357102526056735787791132341793183294712078488665998544446350747307991455607208523806170652551140514601339436356503432889875742698714632389186065404117381550314858881143186293108404167602015062603309567126563933548163321627409130462760836125782491506164194133019490297057821307458802706988066440365481015626760342979452852256007547862539368683424675892947492295294895723893854507340103898998505374476809979607935980574795779312964652896027553900645678964636271321686897500237450595345889668300280808942690745725904933772119704849872906829711916754488196448632941140932224295179054531976503724570320643351480298136349591631464684984807345000424628577939151349116336230822901712697915357850674005115636193673227212275689183879549966744301116822992143437126698751419125386844746208676291913951635831407288371526374765887834929804611105451334723318925334772273236896695251574296995457740376327227065008004060539192741498995713878369726356773823683923400717581479212131436990595085862375490571739223997388655473909734795952332402071350813453937235743101681410788594732897837077995823395465325966159624355075402192383505938255633076371036597655834322753554442512784200007286675512929237962968914832158315965576042665603582100767990600914164005166037806715446737024892280499666649099887371706673726173034717822749891014814034290463650246581428273556498866211040426404132006177744747222105356657945565739549278388964568767344074615437115303118961195472333347394997571662579266047700692647715813878437003640041499846594479555412014628249256469753864461753853490562678352536839046874855178540121100755654178743245993751752681335204714056039913894096552373142075252562261424930032485648257220767010470571415642582572756550689984497487605561856724230852442088654896551165858804557776787776782069363652487079245825348724378083518936381673702168414739581643264235113533230559475104626377893707992255371902061644134394728693968936688031709739410490730900526427869117132572477653986835979209816142732341854953950328187244994828983867269460576864494420249533410916003359977617537482036688664045915152912646352147839988474847725887752756171932848176617747778881061590197083131643461042177801472538452144194207088996712126146697234211577824420739747144032556625680031473547839633501656351028910377169727394047271632896.00000
0.059998	 1.221119	 0.13025	 0.01708	 0.00000
0.069998	 0.828131	 0.14406	 0.00647	 47622078083937057550755702566363568682512395314349393661063266033805797755965931904550840794338366824112894779945154066201146191826685502969502480011108836085783548411557734808744847213627977219758368686753285088309849865154304756611173788582141141901170700271979609458080502470020412894829731962766530314680837510199806473316384054463655752159805691079713386765925309912665278309636063071639539631693462065749400706760397380728711708555592523637841571918967330558677123960604618220122695816936013483789798772257577052384976421424812074159875598860515992383645902975280086753141230312616284847884886456833494875756546634442839942018726792349045050935998770205175904256739876759338416145493783687071921394259038408377125880190609512361794188815076968660503635240681472.00000
0.079998	 0.732428	 0.16235	 -0.00312	 0.00000
0.089998	 0.752774	 0.17679	 0.01841	 -79479880145157365314690676138641135934970418848848776063904349299046318298157000941217497828297067259716524109500739302692512497652056323350675996322880580017235892857064103748512942818448843793987381977772192124718236083854058637948490703934115087133729364122190695777234665935238487002751738658639363196255946231576347647662902701264883564163742986597500545219187628768456082500669196114496108811820921337415708351845989199732217469163154949858787837143913218733461498321562314946200507495106412875594348172320572445031412424773858015327489526597536905218700572444401150744137242625881453747641720604731844524119846067528867797545665716010407291384885313004962728320230899291486788758201251779232893039404480233281237087335360832393973696686690064221317041060344591982293235984518231636334456163734017289151339806515349919449354879907083040671398213964368608057153734760988433989177365014740191955514016795354122874678331252330836924490976839333062306477911062442324636853990053276433027699680876814494646311573057366602895485551513453862446338230351475982291781948593978513686869126660499529344547586785058519448183661618496855733545795334325669034979670339616507255627580947898122671786151575625316790653322050146322072690401974360390009675367105026811677594295942405629596839567982023818253249999953100459880723417149972291456875885563822459901397873067612665397304694447569256304637441074342533718653501545656614890112631386053745870627926866325741272733190546854671331174469620705683173063788252250911893501787218178466823903403310273083521098288203102527264784799539885670392144907468800.00000
0.099998	 0.779329	 0.19104	 0.02301	 -0.00000
0.010000	 4.199993	 0.11094	 -0.00091	 0.00000
0.020000	 1.535752	 0.12588	 -0.00153	 0.00000
0.030000	 1.452329	 0.12993	 0.00495	 0.00000
0.040000	 0.804548	 0.15035	 0.01396	 0.00000
0.050000	 0.927976	 0.16461	 0.01914	 -0.00000
0.060000	 1.161690	 0.18150	 0.00664	 0.00000
0.070000	 1.005417	 0.20570	 0.00584	 3303704217197547629305987380823858266750779022939064194269293948517448030465519084552174206901369107771594889250071278336966468854806666690094923873032820816982737904401342004381912772083753874612309890533664393614498533526820463414275679182612897694974524417911352178375932389328075581633272243421482090343436668655263117295877219005320151569842504445092330971927595161927380793595027021420635219908463624666063255552261416367326194119470479092124989661512269918735371875077564041286096693723359495685654823986772329442979588447509061468744325614479681880097675331208458811303951379702105161202490338793261564169442915230634720385575800606668729999869951240103424015871639621830318649134838147799885772206195623091336255181138958587432452679450240271080901131841490222129085893539248303332771050309057526873514866592581250252822900196553668992714905442748248414148153525255133514794445343702440707382814108985648798519976370135138390346369299620745128085123386670561211525399046385430092626107319434412666640988138934020536872288649890730383842982845505972893186313713190833464231776223810880837728174814580551735037950671867204354493775967563342366616120515096760856881658170402408155213647131326218063934176564072683498297865488255648356340006722261369330307239305068899350666783107699001764436987572044471227288563781284490223574359136216266680738478456767205002625893800767966849524776866655452215204273053638881006291307719075262828742016102063655915318917574735759424737683641829665235909996138200946712959858089244910448238443402939129058050129764144693080697347906723194020721852614648194498341543417478992856452703443617719939365180800045960038428999153208676409071664829921849089099687800172802968919798376248109797029174908812574071391194995844946775031742042887894919262740159477942784135129039236292114431172375965167473620831138587607848146747938044584254833931672408451883300419153307011336526481175914277749168929824551526294289198922309678876663179983258645048487632838764884438554962445081248193001986112683792225736793236594263249645730702648750630531955077337554584718518043464805898801927019783301020363002474397696.00000
0.080000	 1.165987	 0.21673	 0.01512	 0.00000
0.090000	 1.290350	 0.24928	 0.02957	 -10889183214133835390050881602236866309315058831862355002957057086882185983392386613560559176814565379546840573842008524938508720033402723996328085528819458190903584807717117875166148913780443761369836205502351033631851029497402658113852434888513170500372563626524580251844045082003118111149762776047553079498026475530079581940513523397718358401021651586425127246284375950909893314640058224963832402562082057736208657424302810448865420567443900083587717007655895602690282603647884419398312660688439109387015573150845767264865968449337752586261017041853616792092823407488932507728892594349561261126854977083395849516276323929081579976536961397747953188507884423198651238525171229943900882168778221442818232932992618774366606230385043873869276382515715764006940510833262797167329728474510762259208145693445118972111047046103492671799766763118141220418086073325812506015141592732755417485713989977861901944715891234985101986322589320888223845436988392667776444095902869824856748895065660375953878192687537991544764436929777353818984008269872985173561449107219483316709349455214160120832934913907348198438993660547721308666508260294204414725934681847024300799898586988474159059457092285801205143214618032160819830090457178169448124789796978451034520295247245077553653955582354316238719987815927298679902865198993721198956576178153096565339500166848021882137626924598528823178137091168629112499808466192706997623902111001274140950374151139047757370617261380016856443830810268312496749737355909317811253083100189715587559185752545425906612475898013963965121388650846128728085867359396694633559239107021997815221770548944862769588489005541753941738353738533256514665757282503936551386456805006082137008608124296881923263826364006643274659229560164504447636312614954789482593496051420116596548925389598293532030092213688416543698376164559814880381549008679105681156328107617997705844992912172657372007260237922359496348901266012229993747665540305766291202351934088971677812422793306295175941140915137077774619513282247240351597343218905920729147898574162821937056393263610685688061423234836374466877707596846702913434767404915327784540615815030806883649738357503554551756680956137712531930676210410617977566596885539047780744795919998744185566905687648024627008515180771503359447854838861543880062367821120210027759964971002360627492687306438975888836629098494190099592716237082468281678569183623663696288636549140429731293012561343462937810157884177363810790787664566531979093812989538713621591598875686458391475774127763399594361614093019218975962599358898220161055184470780611611085497187866922372124814567604904776589457702023548073069640998913233008296829234909890614411802773780726977020789385003921968016699565566218665297912506805568190416864035658944518080688957280984295434398381175624145406937200919001560583056584579153285768020384476953836637286505098901604204223885346025400151403471929714668643777799494310088745632580220765127675701443734616820685337090064384.00000
0.100000	 1.169428	 0.29245	 0.00673	 -0.00000
0.110000	 1.319108	 0.34549	 0.04338	 20524217269888908604723605553112752427870466743324884374651639276248954149311231686905176570785469799027924249964494394693152861385859501929681725331759718744867045456194596005200098189537139019954399342514761583767157483220544111271081549978941601558190987023836977014457277880446556355213850445106479561672461222336441027983098725429967887490104429740071901747559929041146005452495707506581773045365968551793272156482542840420057605974342938378364278428316841836426957044639130542991123329642045216958560946988872703017481762773711032522199447901073632036899530509949087615551357250650423056318662356882256512417796044394758856076857072827082402326793237803488567977013617553849357933311628121413094290658180138304875303100619654516833048560214420744594938408516821424301624727852266595407315789972465793923514996986827118843004521671561768667808581760368089352066096536402164339488383810371685786337564563843476951513738646155321834432429801775149716117646707763104875358067578942611945276661487499489251152617879210100067510924305564802927146775862060453651690744966352681645186472017720386490166563550233012824942606904897500306650164309564785881451314494808697792570053012704020551887668030778928410505901526306712990912791105885089233236229307837226453195670193123206550662245908909410783399750360839247186829157308197136606451861426565222898397158215673524473179782579082197419608058657984279455274204645654688608346079753337379593096853439136017894664947781783535850466043025319457869298017439723460329628302207660411655017706670054004861238330443144200851544762060600800098667420509261538959031651525718587879883298040839208923022918382182129514752731920914431909653336667025780859625285357152334796786983735285698203433473636610951181353627904000908325662064444801104883033082691076240609351219615756884889819315122692583822668987334284260148747548131130335196456633437639209625811995247450168431540601405771537321205251404441870902396271057350951585684035552467667936436163210315298185452516408657017120559251729560900110400692761639149805000526025305132361722205158245252106483378096361667788813776062717256794057993559577879109096173857161660706083427346609617774650643303212331105192845551188165678876276578690947314179545863697398122062536153349549936845078596941076269179756600474278067168931598940641115995343483977992803775510286488571312118399587644916724684089515404871051781075475869631177551523722570533824607442088480065432439122555947479503333672559191695897409006187009287539661379982754421421623456584970682358649595863471368143342117976212201322385693964585707124761385726516239202666663644754050851113937391082404428089146832362891389205610972874757062276877016614377362983881206663754848024519679423255154383188926115399101415583497696508259351539258558093247210406963119474560296930252374716796404738921057137107872878426031476521051307198777467116194678441062114320238964215005663981944491926718974734055593730165229332220995915503499856598901617149276564328395971004106641196817129387951700776016852568378169737671170305254366380606165719468400546134969025554827671846408060539507876983048975295274475473951128378279288018967248567931248546409428776667470681787368528460329512818729751624374181725131837895797804571038431853684516137364820858460629879297577994754802450443644622612550375085547583252263605779308865160686924537334529824939540265277373102652488102430944251406406670672183630368374098592979928203737411857787668754086560500958210256431275611930364370812401091458519830148214946496358775890619872576658198337307149732290589438091453624860443923777822192077325809523439334539243263691128330912196636463388744818436409017700223514738697471951254513693002739114475911356056222841040507133293683527704568818439823117665614285778520033464937640708014080.00000
0.120000	 1.230870	 0.36137	 0.06915	 0.00000
