#xpositions	 ypositions
0.05152	 0.52740
0.05243	 0.74796
0.76814	 0.08564
0.05258	 0.51920
0.04521	 0.07630
0.05135	 -0.24984
0.05127	 -0.23831
0.05226	 0.75613
0.05044	 -0.18660
0.16865	 0.00607
0.77097	 -0.00371
0.05187	 0.37815
0.97174	 0.00880
0.05193	 -0.58201
0.05384	 0.23055
0.05133	 0.68224
0.05061	 -0.25970
0.05403	 -0.81432
0.65711	 0.09092
0.05024	 0.55512
0.53343	 0.01611
0.75834	 0.04279
0.05237	 -0.85913
0.05062	 -0.29961
0.05172	 -0.35068
0.05080	 -0.18977
0.23052	 0.07763
0.55522	 0.01376
0.05085	 -0.60567
0.88912	 -0.00722
0.05123	 0.25923
0.20971	 0.02150
0.05185	 -0.28240
0.24164	 0.09121
0.05223	 -0.52249
0.42070	 0.00088
0.37787	 0.08475
0.05172	 0.42549
0.23567	 -0.10220
0.32859	 0.02724
0.05000	 -0.64609
0.05500	 -0.14803
0.05039	 0.15996
0.05030	 -0.74504
0.05085	 -0.51243
0.03822	 -0.02116
0.05137	 -0.62308
0.05144	 -0.63875
0.05116	 0.62382
0.05384	 -0.60318
0.05130	 0.59052
0.05069	 0.84490
0.00355	 0.02575
0.05530	 0.84410
0.05079	 0.73298
0.05224	 0.47716
0.05044	 -0.38595
0.05121	 0.25377
0.05285	 0.81624
0.05483	 0.69401
0.05026	 0.39880
0.05792	 0.70708
0.05142	 0.68700
0.05189	 -0.13171
0.05169	 0.27775
0.05570	 -0.72610
0.08056	 0.05585
0.79044	 0.02753
0.38244	 0.00248
0.23033	 0.05450
0.56654	 -0.08546
0.05100	 0.27217
0.05151	 0.24310
0.05037	 -0.86087
0.05117	 0.79594
0.90552	 0.03133
0.05169	 -0.64683
0.35760	 -0.02308
0.05203	 0.17193
0.05157	 -0.25944
0.67139	 0.07057
0.05146	 -0.51741
0.05097	 -0.50908
0.05253	 0.74182
0.67780	 0.03729
0.25914	 0.05973
0.06524	 0.28544
0.05311	 0.54026
0.05149	 0.20944
0.05007	 0.34516
0.05540	 -0.44134
0.68057	 0.02145
0.05111	 -0.60103
0.05039	 -0.48362
0.29997	 -0.06925
0.05283	 0.57207
0.05487	 0.56579
0.05031	 0.24632
0.05091	 -0.61919
0.05166	 0.71404
0.05159	 0.13195
0.05547	 0.20695
0.02145	 -0.05065
0.05174	 -0.71012
0.37865	 0.02234
0.33012	 0.05910
0.13707	 -0.06732
0.05143	 0.17326
0.46699	 -0.09310
0.05041	 -0.35206
0.05581	 -0.56205
0.05179	 0.36226
0.05029	 -0.28695
0.05152	 -0.53996
0.05028	 0.18346
0.05098	 -0.56382
0.05288	 0.33923
0.21421	 0.01175
0.05108	 -0.69998
0.14658	 0.05292
0.05093	 0.49331
0.05801	 0.52109
0.86724	 0.02605
0.44629	 -0.01203
0.11958	 -0.05548
0.06884	 -0.06857
0.05094	 -0.07084
0.05219	 0.75165
0.12507	 0.04952
0.05124	 0.21610
0.52321	 -0.01255
0.05335	 0.53635
0.05064	 0.52549
0.92550	 0.06727
0.05243	 0.42200
0.05383	 -0.77291
0.92047	 0.04898
0.39490	 0.03039
0.05439	 -0.81349
0.05172	 -0.21171
0.87536	 0.04713
0.59487	 0.02814
0.09462	 -0.08114
0.05147	 0.26928
0.05200	 0.19897
0.98298	 0.01446
0.05380	 0.58375
0.05811	 0.85633
0.05454	 -0.17250
0.44705	 0.11102
0.04960	 0.08321
0.60817	 0.02940
0.05355	 -0.34532
0.79325	 -0.02161
0.05110	 -0.43998
0.64616	 0.03231
0.05053	 0.61155
0.05299	 -0.16396
0.39626	 -0.05203
0.05214	 -0.64678
0.05132	 0.78265
0.05056	 0.42406
0.05162	 0.20309
0.05195	 0.40372
0.05053	 0.29116
0.05220	 -0.67245
0.05174	 0.70744
0.05035	 0.11878
0.05150	 0.23740
0.05440	 0.86540
0.05448	 -0.84136
0.05165	 0.59611
0.05854	 -0.60346
0.77359	 -0.00443
0.05083	 0.22434
0.11515	 -0.04688
0.85469	 0.00116
0.05166	 0.21966
0.45948	 0.01169
0.05267	 -0.43582
0.64310	 -0.04044
0.49604	 -0.02410
0.05186	 -0.56160
0.05160	 -0.57671
0.05189	 0.18453
0.05187	 -0.43072
0.07512	 0.00227
0.79550	 0.03886
0.05068	 -0.77351
0.05118	 0.29847
0.05148	 -0.63733
0.05691	 0.54636
0.42307	 0.03558
0.14865	 -0.12319
0.35450	 -0.07434
0.33388	 -0.05098
0.05397	 0.82540
0.05143	 -0.49851
0.05242	 -0.35014
0.05068	 -0.77772
