#time	 xpos	 ypos
0.00001	0.55734	 0.02952	0.25842	 -0.53477	0.27138	 0.66434	0.26541	 0.04519	0.43876	 -0.49654	0.38898	 0.12632	0.32844	 -0.44220	0.47745	 0.36599	0.06540	 0.46270	0.67316	 -0.15028	0.28491	 -0.18810	0.07942	 -0.41766	0.69326	 0.06195	0.37850	 -0.33106	0.12829	 -0.68035	0.16855	 -0.09788	0.19033	 -0.43936	0.23569	 -0.34492	0.62031	 0.13789	0.52865	 0.22494	
0.00003	0.55471	 0.01972	0.26123	 -0.53912	0.26759	 0.66675	0.26595	 0.05011	0.43090	 -0.49427	0.37751	 0.11534	0.33147	 -0.44787	0.47077	 0.36402	0.07116	 0.44803	0.68454	 -0.14860	0.29329	 -0.17120	0.07085	 -0.40774	0.69135	 0.06375	0.38394	 -0.33464	0.13823	 -0.67588	0.16415	 -0.08645	0.18121	 -0.44024	0.23704	 -0.35216	0.62753	 0.15642	0.51746	 0.22494	
0.00004	0.57168	 0.01525	0.26162	 -0.53513	0.27525	 0.65264	0.26184	 0.04379	0.43152	 -0.49067	0.36633	 0.12803	0.32446	 -0.44924	0.47369	 0.36345	0.07317	 0.44379	0.67385	 -0.15029	0.28983	 -0.18183	0.06943	 -0.39904	0.67147	 0.05545	0.37174	 -0.34405	0.14125	 -0.67845	0.15704	 -0.08653	0.18528	 -0.44904	0.23386	 -0.35975	0.62538	 0.16588	0.52596	 0.22130	
0.00006	0.56514	 0.02519	0.26243	 -0.53769	0.28118	 0.65046	0.26218	 0.03375	0.43130	 -0.49565	0.37005	 0.12363	0.31881	 -0.44787	0.45832	 0.35387	0.07375	 0.44348	0.67421	 -0.14855	0.29125	 -0.18996	0.06908	 -0.39612	0.67426	 0.07504	0.35477	 -0.34765	0.12826	 -0.66949	0.14928	 -0.09398	0.19817	 -0.45110	0.23814	 -0.35585	0.63168	 0.16607	0.54170	 0.21640	
0.00007	0.57025	 0.02976	0.26032	 -0.54260	0.27685	 0.64259	0.25884	 0.03449	0.43425	 -0.49052	0.37942	 0.11117	0.32287	 -0.44333	0.45195	 0.34644	0.07857	 0.44361	0.67526	 -0.14176	0.27480	 -0.19138	0.07057	 -0.39997	0.66856	 0.06432	0.35071	 -0.33959	0.12950	 -0.65990	0.14179	 -0.10350	0.20595	 -0.45222	0.22740	 -0.35054	0.63245	 0.16278	0.55619	 0.22776	
0.00008	0.56267	 0.03387	0.24956	 -0.54741	0.28986	 0.65510	0.25384	 0.04391	0.45251	 -0.48679	0.36988	 0.11001	0.32690	 -0.43819	0.45147	 0.35076	0.08612	 0.44475	0.68252	 -0.13820	0.28553	 -0.19694	0.07812	 -0.39736	0.66296	 0.06451	0.34766	 -0.33658	0.14206	 -0.66147	0.13857	 -0.10605	0.20372	 -0.45812	0.22753	 -0.35925	0.64027	 0.16841	0.55343	 0.22736	
0.00010	0.55904	 0.04315	0.24367	 -0.55123	0.30427	 0.65382	0.26124	 0.03700	0.46058	 -0.46961	0.36667	 0.10444	0.32595	 -0.45668	0.45017	 0.36139	0.09028	 0.44059	0.68223	 -0.15221	0.27761	 -0.20851	0.06705	 -0.38995	0.66300	 0.07021	0.33572	 -0.34028	0.15455	 -0.65510	0.14711	 -0.11016	0.18989	 -0.46488	0.21150	 -0.36434	0.64993	 0.17351	0.55629	 0.22990	
0.00011	0.55733	 0.03272	0.25737	 -0.55099	0.31110	 0.63609	0.25768	 0.04502	0.45827	 -0.46745	0.36649	 0.11412	0.33045	 -0.45854	0.46528	 0.35479	0.09487	 0.43018	0.69153	 -0.14929	0.26273	 -0.20465	0.05374	 -0.40159	0.65911	 0.06813	0.32944	 -0.33127	0.16102	 -0.64998	0.14736	 -0.11069	0.18763	 -0.46824	0.22272	 -0.35885	0.64809	 0.18024	0.55590	 0.23019	
0.00012	0.56248	 0.02798	0.26093	 -0.56080	0.31745	 0.63636	0.26471	 0.04362	0.46328	 -0.46814	0.37324	 0.11925	0.33934	 -0.45754	0.47213	 0.36140	0.09939	 0.43298	0.69794	 -0.15974	0.25305	 -0.20922	0.06136	 -0.40001	0.66634	 0.05915	0.34202	 -0.34357	0.16416	 -0.63976	0.15820	 -0.10141	0.18612	 -0.47313	0.22034	 -0.35559	0.65083	 0.17382	0.54364	 0.22956	
0.00014	0.56946	 0.03391	0.25936	 -0.55990	0.31247	 0.62797	0.26615	 0.05778	0.45519	 -0.47764	0.36845	 0.12365	0.34615	 -0.46886	0.46291	 0.36138	0.09841	 0.43831	0.69493	 -0.17839	0.25194	 -0.20831	0.06473	 -0.38974	0.66992	 0.04940	0.33943	 -0.35117	0.16473	 -0.64013	0.17594	 -0.09658	0.18858	 -0.46378	0.22106	 -0.36561	0.64880	 0.16596	0.55281	 0.23310	
0.00015	0.56159	 0.02981	0.25555	 -0.55400	0.31599	 0.62759	0.25946	 0.04712	0.45733	 -0.47225	0.36819	 0.12284	0.34005	 -0.46605	0.47803	 0.37022	0.09331	 0.43841	0.70641	 -0.17956	0.24754	 -0.20057	0.05910	 -0.37800	0.66276	 0.03901	0.34144	 -0.35280	0.16821	 -0.64705	0.17075	 -0.10220	0.18382	 -0.45828	0.23014	 -0.36479	0.65131	 0.15138	0.55770	 0.22824	
0.00017	0.56164	 0.03080	0.24670	 -0.55422	0.31131	 0.62497	0.25592	 0.03530	0.46872	 -0.47277	0.37762	 0.10992	0.33392	 -0.47235	0.47290	 0.38172	0.09556	 0.43867	0.69213	 -0.17852	0.24959	 -0.20806	0.06227	 -0.37600	0.66875	 0.04879	0.33282	 -0.35593	0.17942	 -0.63903	0.17878	 -0.10524	0.18128	 -0.47332	0.22559	 -0.36444	0.66318	 0.15340	0.55343	 0.23505	
0.00018	0.56295	 0.03859	0.24381	 -0.56514	0.31586	 0.63451	0.26243	 0.02296	0.47033	 -0.46892	0.37644	 0.11167	0.33953	 -0.47576	0.46880	 0.37458	0.09891	 0.45030	0.70227	 -0.17684	0.25316	 -0.21563	0.07820	 -0.36343	0.66698	 0.04070	0.33082	 -0.34930	0.16791	 -0.63865	0.17567	 -0.11727	0.18131	 -0.47765	0.22505	 -0.36828	0.66585	 0.17072	0.55692	 0.23426	
0.00019	0.56498	 0.03858	0.24824	 -0.56446	0.32501	 0.63786	0.27615	 0.02790	0.47295	 -0.47125	0.36958	 0.10108	0.33952	 -0.47208	0.46830	 0.37320	0.10383	 0.45961	0.70644	 -0.18297	0.24807	 -0.21381	0.08380	 -0.36114	0.66627	 0.04169	0.32608	 -0.34378	0.17038	 -0.63662	0.19105	 -0.12185	0.18122	 -0.47371	0.21515	 -0.37526	0.66981	 0.16768	0.54721	 0.23258	
0.00021	0.56772	 0.03745	0.24511	 -0.56587	0.32596	 0.63237	0.28282	 0.02706	0.48253	 -0.47715	0.36786	 0.10032	0.34101	 -0.46145	0.46072	 0.38635	0.10796	 0.46461	0.72468	 -0.18739	0.23635	 -0.21788	0.08739	 -0.36108	0.67176	 0.03203	0.33260	 -0.33745	0.16997	 -0.65305	0.19818	 -0.12501	0.17847	 -0.47459	0.20691	 -0.37524	0.67627	 0.17431	0.54543	 0.21915	
0.00022	0.56634	 0.04365	0.24650	 -0.56477	0.31789	 0.63640	0.28693	 0.03842	0.48143	 -0.47466	0.37686	 0.10748	0.33870	 -0.47252	0.46974	 0.38698	0.10272	 0.45151	0.71581	 -0.17790	0.24934	 -0.22095	0.08199	 -0.36867	0.67545	 0.04411	0.31364	 -0.33074	0.17227	 -0.66024	0.20378	 -0.11610	0.17704	 -0.48548	0.21198	 -0.36486	0.67692	 0.17290	0.54754	 0.22190	
0.00023	0.57597	 0.05519	0.24146	 -0.56982	0.31310	 0.63453	0.27894	 0.03532	0.47400	 -0.47032	0.37951	 0.10206	0.33952	 -0.47282	0.46601	 0.38019	0.11175	 0.45061	0.70677	 -0.17756	0.25206	 -0.21548	0.07565	 -0.36822	0.67875	 0.04314	0.31310	 -0.32655	0.17490	 -0.66222	0.21613	 -0.11811	0.17975	 -0.48499	0.20823	 -0.37168	0.68543	 0.17360	0.53808	 0.22924	
