#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.001247	 0.0299	 23.98040	 1.1990	  0
0.002497	 0.0582	 23.30135	 1.1651	  0
0.003747	 0.0868	 23.16434	 1.1582	  0
0.004997	 0.1129	 22.60017	 1.1300	  0
0.006247	 0.1346	 21.53665	 1.0768	  0
0.007497	 0.1577	 21.03305	 1.0517	  0
0.008748	 0.1788	 20.44321	 1.0222	  0
0.009998	 0.1974	 19.74528	 0.9873	  0
0.011248	 0.2172	 19.31153	 0.9656	  0
0.012498	 0.2355	 18.84682	 0.9423	  0
0.013748	 0.2505	 18.22105	 0.9111	  0
0.014998	 0.2697	 17.98400	 0.8992	  0
0.016248	 0.2816	 17.33226	 0.8666	  0
0.017498	 0.2998	 17.13502	 0.8568	  0
0.018748	 0.3157	 16.83692	 0.8418	  0
0.001250	 0.0121	 9.67424	 0.4837	  0
0.002500	 0.0249	 9.96123	 0.4981	  0
0.003750	 0.0390	 10.40116	 0.5201	  0
0.005000	 0.0490	 9.79179	 0.4896	  0
0.006250	 0.0646	 10.32867	 0.5164	  0
0.007500	 0.0739	 9.85837	 0.4929	  0
0.008750	 0.0838	 9.57905	 0.4790	  0
0.010000	 0.0936	 9.36177	 0.4681	  0
0.011250	 0.1053	 9.35673	 0.4678	  0
0.012500	 0.1184	 9.47260	 0.4736	  0
0.013750	 0.1250	 9.08943	 0.4545	  0
0.015000	 0.1375	 9.16882	 0.4584	  0
0.016250	 0.1467	 9.02652	 0.4513	  0
0.017500	 0.1546	 8.83474	 0.4417	  0
0.018750	 0.1603	 8.54961	 0.4275	  0
0.020000	 0.1675	 8.37624	 0.4188	  0
0.021250	 0.1752	 8.24381	 0.4122	  0
0.022500	 0.1825	 8.11250	 0.4056	  0
0.023750	 0.1918	 8.07477	 0.4037	  0
0.025000	 0.2001	 8.00430	 0.4002	  0
0.026250	 0.2083	 7.93508	 0.3968	  0
0.027500	 0.2163	 7.86673	 0.3933	  0
0.028750	 0.2209	 7.68465	 0.3842	  0
0.030000	 0.2308	 7.69450	 0.3847	  0
0.031250	 0.2359	 7.55006	 0.3775	  0
0.032500	 0.2412	 7.42177	 0.3711	  0
0.033750	 0.2447	 7.25178	 0.3626	  0
0.035000	 0.2532	 7.23420	 0.3617	  0
0.036250	 0.2555	 7.04938	 0.3525	  0
0.037500	 0.2636	 7.02982	 0.3515	  0
0.038750	 0.2710	 6.99310	 0.3497	  0
0.040000	 0.2779	 6.94865	 0.3474	  0
0.041250	 0.2826	 6.85080	 0.3425	  0
0.042500	 0.2858	 6.72391	 0.3362	  0
0.043750	 0.2942	 6.72422	 0.3362	  0
0.045000	 0.3023	 6.71763	 0.3359	  0
0.046250	 0.3050	 6.59377	 0.3297	  0
0.047500	 0.3102	 6.52991	 0.3265	  0
0.048750	 0.3149	 6.45906	 0.3230	  0
0.050000	 0.3236	 6.47199	 0.3236	  0
0.051250	 0.3307	 6.45189	 0.3226	  0
0.052500	 0.3344	 6.37004	 0.3185	  0
0.053750	 0.3382	 6.29230	 0.3146	  0
0.055000	 0.3397	 6.17619	 0.3088	  0
0.056250	 0.3457	 6.14660	 0.3073	  0
0.057500	 0.3527	 6.13385	 0.3067	  0
0.058750	 0.3598	 6.12393	 0.3062	  0
0.060000	 0.3617	 6.02896	 0.3014	  0
0.061250	 0.3646	 5.95310	 0.2977	  0
0.062500	 0.3682	 5.89105	 0.2946	  0
0.063750	 0.3778	 5.92590	 0.2963	  0
0.065000	 0.3832	 5.89509	 0.2948	  0
0.066250	 0.3870	 5.84174	 0.2921	  0
0.067500	 0.3899	 5.77614	 0.2888	  0
0.068750	 0.3996	 5.81221	 0.2906	  0
0.070000	 0.4033	 5.76087	 0.2880	  0
0.071250	 0.4099	 5.75243	 0.2876	  0
0.072500	 0.4169	 5.75053	 0.2875	  0
0.073750	 0.4228	 5.73298	 0.2866	  0
0.075000	 0.4267	 5.68912	 0.2845	  0
0.076250	 0.4334	 5.68424	 0.2842	  0
0.077500	 0.4379	 5.65029	 0.2825	  0
0.078750	 0.4459	 5.66244	 0.2831	  0
0.080000	 0.4504	 5.63047	 0.2815	  0
0.081250	 0.4566	 5.61982	 0.2810	  0
0.082500	 0.4610	 5.58728	 0.2794	  0
0.083750	 0.4656	 5.55901	 0.2780	  0
0.085000	 0.4726	 5.55955	 0.2780	  0
0.086250	 0.4771	 5.53112	 0.2766	  0
0.087500	 0.4814	 5.50186	 0.2751	  0
0.088750	 0.4892	 5.51200	 0.2756	  0
0.090000	 0.4969	 5.52103	 0.2761	  0
0.091250	 0.5017	 5.49831	 0.2749	  0
0.092500	 0.5078	 5.48947	 0.2745	  0
0.093750	 0.5123	 5.46472	 0.2732	  0
0.095000	 0.5187	 5.45965	 0.2730	  0
0.096250	 0.5252	 5.45624	 0.2728	  0
0.097500	 0.5323	 5.45898	 0.2729	  0
0.098750	 0.5365	 5.43274	 0.2716	  0
0.100000	 0.5415	 5.41550	 0.2708	  0
0.101250	 0.5461	 5.39344	 0.2697	  0
0.102500	 0.5524	 5.38957	 0.2695	  0
0.103750	 0.5553	 5.35249	 0.2676	  0
0.105000	 0.5591	 5.32521	 0.2663	  0
0.106250	 0.5675	 5.34096	 0.2670	  0
0.107500	 0.5730	 5.33014	 0.2665	  1
0.108750	 0.5804	 5.33707	 0.2669	  2
