#time	 meanx: <x>	 meanxsquare: <x^2>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.001247	 0.029916	 0.00602	 0.00512	 1.02661	 -0.00001
0.002497	 0.058195	 0.01300	 0.00962	 0.96250	 -0.00001
0.003747	 0.086808	 0.02140	 0.01386	 0.92466	 -0.00010
0.004997	 0.112944	 0.03053	 0.01777	 0.88912	 -0.00009
0.006247	 0.134550	 0.03935	 0.02125	 0.85020	 0.00014
0.007497	 0.157695	 0.04968	 0.02482	 0.82745	 0.00033
0.008748	 0.178827	 0.06036	 0.02838	 0.81117	 0.00013
0.009998	 0.197403	 0.07055	 0.03158	 0.78979	 0.00002
0.011248	 0.217206	 0.08166	 0.03448	 0.76638	 0.00002
0.012498	 0.235538	 0.09311	 0.03763	 0.75277	 0.00058
0.013748	 0.250494	 0.10330	 0.04055	 0.73737	 0.00041
0.014998	 0.269715	 0.11572	 0.04297	 0.71633	 0.00073
0.016248	 0.281606	 0.12359	 0.04429	 0.68143	 0.00066
0.017498	 0.299820	 0.13498	 0.04508	 0.64416	 0.00010
0.018748	 0.315650	 0.14723	 0.04760	 0.63473	 0.00012
0.001250	 0.012093	 0.00452	 0.00438	 0.87515	 -0.00002
0.002500	 0.024903	 0.00896	 0.00834	 0.83352	 0.00001
0.003750	 0.039004	 0.01351	 0.01198	 0.79891	 0.00018
0.005000	 0.048959	 0.01780	 0.01540	 0.76993	 0.00031
0.006250	 0.064554	 0.02259	 0.01842	 0.73680	 0.00084
0.007500	 0.073938	 0.02737	 0.02190	 0.72997	 0.00094
0.008750	 0.083817	 0.03259	 0.02557	 0.73052	 0.00134
0.010000	 0.093618	 0.03714	 0.02838	 0.70947	 0.00222
0.011250	 0.105263	 0.04329	 0.03221	 0.71584	 0.00247
0.012500	 0.118407	 0.04819	 0.03417	 0.68345	 0.00253
0.013750	 0.124980	 0.05370	 0.03808	 0.69239	 0.00296
0.015000	 0.137532	 0.05965	 0.04074	 0.67894	 0.00399
0.016250	 0.146681	 0.06575	 0.04423	 0.68048	 0.00431
0.017500	 0.154608	 0.07137	 0.04747	 0.67809	 0.00469
0.018750	 0.160305	 0.07671	 0.05101	 0.68019	 0.00535
0.020000	 0.167525	 0.08359	 0.05552	 0.69403	 0.00654
0.021250	 0.175181	 0.08996	 0.05927	 0.69735	 0.00684
0.022500	 0.182531	 0.09769	 0.06438	 0.71529	 0.00805
0.023750	 0.191776	 0.10374	 0.06696	 0.70488	 0.00969
0.025000	 0.200107	 0.11016	 0.07012	 0.70118	 0.00985
0.026250	 0.208296	 0.11745	 0.07407	 0.70539	 0.01111
0.027500	 0.216335	 0.12333	 0.07653	 0.69572	 0.01190
0.028750	 0.220934	 0.12747	 0.07866	 0.68401	 0.01237
0.030000	 0.230835	 0.13375	 0.08046	 0.67053	 0.01365
0.031250	 0.235939	 0.13906	 0.08339	 0.66711	 0.01545
0.032500	 0.241207	 0.14357	 0.08538	 0.65680	 0.01712
0.033750	 0.244747	 0.14822	 0.08832	 0.65422	 0.01745
0.035000	 0.253197	 0.15819	 0.09408	 0.67199	 0.01993
0.036250	 0.255540	 0.16138	 0.09608	 0.66260	 0.02099
0.037500	 0.263618	 0.17021	 0.10072	 0.67146	 0.02379
0.038750	 0.270983	 0.17753	 0.10410	 0.67162	 0.02531
0.040000	 0.277946	 0.18766	 0.11041	 0.69006	 0.02924
0.041250	 0.282596	 0.19464	 0.11478	 0.69563	 0.03141
0.042500	 0.285766	 0.19906	 0.11740	 0.69058	 0.03407
0.043750	 0.294185	 0.20945	 0.12290	 0.70231	 0.03790
0.045000	 0.302293	 0.21826	 0.12688	 0.70489	 0.04090
0.046250	 0.304962	 0.22401	 0.13100	 0.70813	 0.04247
0.047500	 0.310171	 0.23088	 0.13467	 0.70880	 0.04358
0.048750	 0.314879	 0.23729	 0.13815	 0.70844	 0.04477
0.050000	 0.323600	 0.24506	 0.14034	 0.70172	 0.04434
0.051250	 0.330660	 0.25307	 0.14374	 0.70116	 0.04841
0.052500	 0.334427	 0.26097	 0.14913	 0.71015	 0.05086
0.053750	 0.338211	 0.26890	 0.15451	 0.71865	 0.05300
0.055000	 0.339691	 0.27483	 0.15944	 0.72472	 0.05638
0.056250	 0.345746	 0.28093	 0.16139	 0.71727	 0.05541
0.057500	 0.352697	 0.28796	 0.16356	 0.71115	 0.05771
0.058750	 0.359781	 0.29984	 0.17040	 0.72509	 0.06387
0.060000	 0.361737	 0.30518	 0.17432	 0.72634	 0.06635
0.061250	 0.364627	 0.31252	 0.17957	 0.73292	 0.07370
0.062500	 0.368190	 0.32150	 0.18593	 0.74373	 0.07549
0.063750	 0.377776	 0.33116	 0.18845	 0.73901	 0.07744
0.065000	 0.383181	 0.33756	 0.19074	 0.73360	 0.07766
0.066250	 0.387015	 0.34678	 0.19700	 0.74339	 0.08432
0.067500	 0.389889	 0.35349	 0.20148	 0.74621	 0.08652
0.068750	 0.399590	 0.36667	 0.20700	 0.75272	 0.08981
0.070000	 0.403261	 0.37461	 0.21199	 0.75711	 0.08931
0.071250	 0.409860	 0.38292	 0.21493	 0.75415	 0.09166
0.072500	 0.416913	 0.39322	 0.21940	 0.75655	 0.09364
0.073750	 0.422807	 0.40495	 0.22618	 0.76672	 0.09898
0.075000	 0.426684	 0.41537	 0.23331	 0.77769	 0.10380
0.076250	 0.433423	 0.42474	 0.23689	 0.77667	 0.10771
0.077500	 0.437897	 0.43499	 0.24323	 0.78463	 0.11510
0.078750	 0.445917	 0.44830	 0.24945	 0.79192	 0.11747
0.080000	 0.450437	 0.45225	 0.24935	 0.77923	 0.11935
0.081250	 0.456610	 0.46580	 0.25730	 0.79170	 0.12476
0.082500	 0.460951	 0.47974	 0.26726	 0.80989	 0.13312
0.083750	 0.465567	 0.49045	 0.27370	 0.81701	 0.13789
0.085000	 0.472562	 0.49754	 0.27422	 0.80653	 0.14117
0.086250	 0.477059	 0.50849	 0.28090	 0.81421	 0.15061
0.087500	 0.481413	 0.51599	 0.28423	 0.81208	 0.15722
0.088750	 0.489190	 0.52910	 0.28979	 0.81632	 0.15983
0.090000	 0.496893	 0.54444	 0.29754	 0.82649	 0.16739
0.091250	 0.501721	 0.55593	 0.30421	 0.83344	 0.17749
0.092500	 0.507776	 0.56814	 0.31030	 0.83865	 0.18557
0.093750	 0.512317	 0.57865	 0.31618	 0.84315	 0.18904
0.095000	 0.518667	 0.59207	 0.32306	 0.85015	 0.19319
0.096250	 0.525163	 0.60501	 0.32921	 0.85510	 0.19212
0.097500	 0.532250	 0.62060	 0.33731	 0.86490	 0.19949
0.098750	 0.536483	 0.63129	 0.34348	 0.86956	 0.20484
0.100000	 0.541550	 0.64212	 0.34885	 0.87212	 0.21364
0.101250	 0.546086	 0.65239	 0.35418	 0.87451	 0.21940
0.102500	 0.552431	 0.66707	 0.36190	 0.88267	 0.22340
0.103750	 0.555320	 0.67764	 0.36926	 0.88979	 0.23107
0.105000	 0.559147	 0.68427	 0.37162	 0.88482	 0.22892
0.106250	 0.567477	 0.69848	 0.37645	 0.88577	 0.23161
0.107500	 0.572990	 0.71150	 0.38318	 0.89112	 0.24444
0.108750	 0.580407	 0.72447	 0.38760	 0.89104	 0.24883
0.110000	 0.583789	 0.73527	 0.39446	 0.89650	 0.25074
0.111250	 0.588167	 0.74384	 0.39790	 0.89416	 0.24995
0.112500	 0.592554	 0.75291	 0.40179	 0.89287	 0.25701
0.113750	 0.600300	 0.76607	 0.40571	 0.89168	 0.25906
0.115000	 0.607149	 0.77817	 0.40954	 0.89031	 0.25937
0.116250	 0.610506	 0.79153	 0.41882	 0.90068	 0.26763
0.117500	 0.614372	 0.80273	 0.42528	 0.90485	 0.27423
0.118750	 0.619761	 0.80968	 0.42558	 0.89595	 0.26773
0.120000	 0.623891	 0.82405	 0.43481	 0.90586	 0.27830
0.121250	 0.628221	 0.83345	 0.43879	 0.90471	 0.27899
0.122500	 0.636126	 0.85340	 0.44874	 0.91581	 0.29244
0.123750	 0.641296	 0.86682	 0.45556	 0.92032	 0.30094
0.125000	 0.645847	 0.88010	 0.46299	 0.92597	 0.31025
0.126250	 0.650829	 0.89341	 0.46983	 0.93036	 0.31535
