#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 0.982571	 0.00042
0.019998	 1.143033	 0.00174
0.029997	 0.724261	 -0.00200
0.039998	 0.861479	 0.00460
0.049998	 0.892956	 0.00079
0.059998	 0.865217	 -0.00211
0.069998	 0.974951	 0.00808
0.079998	 0.938205	 0.00369
0.089998	 0.949129	 0.00782
0.099998	 1.166594	 0.02784
0.010000	 7.862040	 0.00677
0.020000	 4.083647	 0.00453
0.030000	 2.815991	 0.00763
0.040000	 1.782491	 0.01715
0.050000	 1.766054	 0.03464
0.060000	 1.717605	 0.03660
0.070000	 1.316091	 0.04303
0.080000	 1.178697	 0.05270
0.090000	 1.174057	 0.06526
0.100000	 1.118563	 0.06348
0.110000	 1.131273	 0.05576
0.120000	 1.031707	 0.04909
0.130000	 1.047770	 0.08128
0.140000	 0.900961	 0.08285
0.150000	 0.836438	 0.08827
0.160000	 0.720742	 0.08012
0.170000	 0.703365	 0.06354
0.180000	 0.657979	 0.06232
0.190000	 0.747265	 0.06961
0.200000	 0.757697	 0.05109
0.210000	 0.675056	 0.04198
0.220000	 0.622324	 0.02528
0.230000	 0.707311	 0.04992
0.240000	 0.654297	 0.03835
0.250000	 0.622887	 0.05246
0.260000	 0.576985	 0.04688
0.270000	 0.573299	 0.06264
0.280000	 0.628203	 0.03386
0.290000	 0.607648	 0.04312
0.300000	 0.569538	 0.04331
0.310000	 0.604793	 0.03957
0.320000	 0.630305	 0.05841
0.330000	 0.642989	 0.05028
0.340000	 0.607023	 0.03603
0.350000	 0.671988	 0.04512
0.360000	 0.708082	 0.06327
0.370000	 0.691922	 0.04156
0.380000	 0.731414	 0.07718
0.390000	 0.749099	 0.05326
0.400000	 0.708517	 0.05031
0.410000	 0.693296	 0.06152
0.420000	 0.678206	 0.03700
0.430000	 0.681949	 0.06480
0.440000	 0.752047	 0.10943
0.450000	 0.766863	 0.11250
0.460000	 0.762129	 0.15556
0.470000	 0.750513	 0.13893
0.480000	 0.721622	 0.20494
0.490000	 0.736985	 0.18388
0.500000	 0.765053	 0.15033
0.510000	 0.777510	 0.11038
0.520000	 0.800454	 0.18065
0.530000	 0.784635	 0.26644
0.540000	 0.801296	 0.32028
0.550000	 0.810827	 0.29311
0.560000	 0.819588	 0.24378
0.570000	 0.816042	 0.27057
0.580000	 0.833400	 0.24030
0.590000	 0.800034	 0.21980
0.600000	 0.808416	 0.15213


Average of all Threads:

meanx = 0.48505	 meanxsqu = 1.22062	 mthree = 0.15213

