#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 2.393487	 0.00169
0.019998	 2.401812	 -0.00008
0.029997	 1.759331	 -0.00266
0.039998	 1.604226	 0.00433
0.049998	 2.087277	 0.00343
0.059998	 1.421354	 0.00967
0.069998	 1.421691	 0.02666
0.079998	 1.562852	 0.02673
0.089998	 1.434278	 0.03053
0.099998	 1.310434	 0.04867
0.010000	 4.757188	 0.00786
0.020000	 1.901823	 0.00875
0.030000	 0.902764	 0.01175
0.040000	 0.589981	 0.01150
0.050000	 1.023478	 0.00542
0.060000	 1.330366	 0.02432
0.070000	 1.283489	 0.04924
0.080000	 1.232303	 0.05543
0.090000	 1.176464	 0.05582
0.100000	 1.106056	 0.06929
0.110000	 1.006562	 0.08098
0.120000	 1.112714	 0.09341
0.130000	 1.152406	 0.09075
0.140000	 1.213435	 0.09246
0.150000	 1.067504	 0.08828
0.160000	 1.015627	 0.12868
0.170000	 0.958762	 0.11394
0.180000	 1.008608	 0.10265
0.190000	 0.934971	 0.12406
0.200000	 0.940341	 0.15475
0.210000	 0.926605	 0.18305
0.220000	 0.932649	 0.17876
0.230000	 0.911914	 0.18702
0.240000	 0.950288	 0.18613
0.250000	 0.918171	 0.12635
0.260000	 0.854192	 0.11215
0.270000	 0.930314	 0.13595
0.280000	 0.818680	 0.18343
0.290000	 0.820681	 0.23452
0.300000	 0.882476	 0.27634
0.310000	 0.974477	 0.33680
0.320000	 0.982352	 0.32574
0.330000	 0.949192	 0.40969
0.340000	 0.923706	 0.38067
0.350000	 0.943486	 0.33964
0.360000	 0.973900	 0.28735
0.370000	 0.951230	 0.21455
0.380000	 0.946548	 0.24033
0.390000	 0.949793	 0.26744
0.400000	 0.968289	 0.26548
0.410000	 0.950804	 0.29029
0.420000	 0.973932	 0.26116
0.430000	 0.936198	 0.33224
0.440000	 0.944919	 0.32357
0.450000	 0.955254	 0.30655
0.460000	 0.961447	 0.34788
0.470000	 0.894083	 0.32833
0.480000	 0.868109	 0.39042
0.490000	 0.856338	 0.41545
0.500000	 0.856127	 0.45599
0.510000	 0.897623	 0.39943
0.520000	 0.892975	 0.37925
0.530000	 0.918151	 0.33650
0.540000	 0.941294	 0.34106
0.550000	 0.924284	 0.38022
0.560000	 0.916521	 0.35954
0.570000	 0.956190	 0.34373
0.580000	 0.954080	 0.28880
0.590000	 0.945646	 0.33998
0.600000	 0.944291	 0.42620


Average of all Threads:

meanx = 0.56657	 meanxsqu = 1.32025	 mthree = 0.42620

