#time	 meanx: <x>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.019998	 0.281176	 0.05020	 0.62722	 0.00182
0.029997	 0.469557	 0.08305	 0.69045	 0.01029
0.039998	 0.659410	 0.10541	 0.65452	 0.01580
0.049998	 0.423953	 0.12417	 0.61862	 0.01209
0.059998	 0.810444	 0.14485	 0.59372	 0.00938
0.069998	 0.759223	 0.16693	 0.58613	 0.00610
0.079998	 0.894507	 0.20202	 0.61532	 0.02236
0.089998	 0.933747	 0.23141	 0.62321	 0.01841
0.099998	 0.910959	 0.24473	 0.59109	 0.01473
0.010000	 -1.572907	 0.11810	 2.94633	 0.00378
0.020000	 -0.316080	 0.12152	 1.51850	 0.00047
0.030000	 -0.526405	 0.13501	 1.12303	 0.01339
0.040000	 -0.731472	 0.15250	 0.94778	 0.02243
0.050000	 -0.169478	 0.18156	 0.90744	 0.02770
0.060000	 -0.057644	 0.20441	 0.85166	 0.04318
0.070000	 -0.005142	 0.20997	 0.74988	 0.04832
0.080000	 0.164975	 0.25226	 0.78778	 0.06131
0.090000	 0.303003	 0.23926	 0.66256	 0.02826
0.100000	 0.145836	 0.24009	 0.59970	 0.02582
0.110000	 0.229028	 0.25971	 0.58881	 0.01822
0.120000	 0.393020	 0.30397	 0.62863	 0.01502
0.130000	 0.442863	 0.31264	 0.59485	 -0.02665
0.140000	 0.527587	 0.32205	 0.56534	 -0.00153
0.150000	 0.483544	 0.36700	 0.60290	 0.00794
0.160000	 0.569707	 0.39410	 0.60280	 0.05347
0.170000	 0.654190	 0.40765	 0.58130	 0.07377
0.180000	 0.748684	 0.39330	 0.52103	 0.06071
0.190000	 0.691804	 0.43881	 0.55465	 0.05718
0.200000	 0.853456	 0.45487	 0.53216	 0.06619
0.210000	 0.888742	 0.46350	 0.51032	 0.08126
0.220000	 0.875340	 0.48959	 0.51421	 0.06810
0.230000	 0.903623	 0.51198	 0.50955	 0.06897
0.240000	 0.832026	 0.51071	 0.49046	 0.08866
0.250000	 0.793481	 0.50792	 0.46857	 0.06513
0.260000	 0.828476	 0.51924	 0.45466	 0.03356
0.270000	 0.807260	 0.54004	 0.45605	 0.07805
0.280000	 0.831867	 0.53327	 0.42769	 0.06109
0.290000	 0.830291	 0.54124	 0.41660	 0.06938
0.300000	 0.882331	 0.56998	 0.41660	 0.03789
0.310000	 0.888160	 0.58439	 0.41015	 0.04171
0.320000	 0.880343	 0.60623	 0.41162	 0.03253
0.330000	 0.862692	 0.60747	 0.39881	 0.00488
0.340000	 0.870401	 0.63632	 0.40348	 0.02108
0.350000	 0.938262	 0.70019	 0.42311	 0.01029
0.360000	 0.858335	 0.67966	 0.40568	 0.03244
0.370000	 0.765042	 0.64268	 0.38011	 0.08352
0.380000	 0.799543	 0.70047	 0.40010	 0.05801
0.390000	 0.770718	 0.70876	 0.39642	 0.01700
0.400000	 0.747605	 0.75257	 0.41446	 -0.04804
0.410000	 0.750993	 0.80078	 0.43047	 0.01282
0.420000	 0.759510	 0.84950	 0.44509	 0.00861
0.430000	 0.763123	 0.85176	 0.43261	 0.00248
0.440000	 0.789334	 0.92438	 0.45668	 0.01892
0.450000	 0.811705	 0.93549	 0.44560	 0.01474
0.460000	 0.798717	 0.95425	 0.44525	 -0.06587
0.470000	 0.795881	 0.96126	 0.43688	 -0.10578
0.480000	 0.770695	 0.98038	 0.43934	 -0.04392
0.490000	 0.763042	 0.96692	 0.42200	 -0.05466
0.500000	 0.720093	 1.02788	 0.44912	 -0.11009
0.510000	 0.722793	 0.99859	 0.42290	 -0.06127
0.520000	 0.703811	 0.98559	 0.40945	 -0.06145
0.530000	 0.706828	 1.02602	 0.41777	 -0.06503
0.540000	 0.684841	 1.03905	 0.41772	 -0.08478
0.550000	 0.688460	 1.07349	 0.42278	 -0.03778
0.560000	 0.678740	 1.10354	 0.42815	 -0.06775
0.570000	 0.682767	 1.13977	 0.43347	 -0.08688
0.580000	 0.678960	 1.17967	 0.44164	 -0.11296
0.590000	 0.684635	 1.18708	 0.43386	 -0.09716
0.600000	 0.726385	 1.20297	 0.42209	 -0.09851


Average of all Threads:

meanx = 0.43583	 meanxsqu = 1.20297	 msdall = 0.42209	 deff = 0.42209	 thirdcum = 1.01302

