#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 -0.0007	 -0.03570	 0.0238	 0.59607	 0	 0
0.019998	 0.0250	 0.62619	 0.0464	 0.57166	 0	 0
0.029997	 0.0454	 0.75704	 0.0705	 0.57000	 0	 0
0.039998	 0.0592	 0.73970	 0.0934	 0.56179	 0	 0
0.049998	 0.0760	 0.76008	 0.1136	 0.53925	 0	 0
0.059998	 0.0892	 0.74338	 0.1189	 0.46242	 0	 0
0.069998	 0.0983	 0.70204	 0.1348	 0.44692	 0	 0
0.079998	 0.1109	 0.69304	 0.1605	 0.46328	 0	 0
0.089998	 0.1138	 0.63232	 0.1786	 0.46003	 0	 0
0.099998	 0.1414	 0.70692	 0.2104	 0.47599	 0	 0
0.010000	 0.0489	 2.44675	 0.1066	 2.60409	 0	 0
0.020000	 0.0556	 1.39029	 0.1007	 1.22029	 0	 0
0.030000	 0.0548	 0.91399	 0.1213	 0.98611	 0	 0
0.040000	 0.0725	 0.90617	 0.1337	 0.80289	 0	 0
0.050000	 0.0904	 0.90366	 0.1472	 0.69510	 0	 0
0.060000	 0.1100	 0.91694	 0.1756	 0.68113	 0	 0
0.070000	 0.1169	 0.83511	 0.2173	 0.72727	 0	 0
0.080000	 0.1319	 0.82432	 0.2301	 0.66460	 0	 0
0.090000	 0.1589	 0.88280	 0.2575	 0.64518	 0	 0
0.100000	 0.1467	 0.73352	 0.2694	 0.61968	 0	 0
0.110000	 0.1500	 0.68182	 0.2849	 0.59643	 0	 0
0.120000	 0.1568	 0.65340	 0.3183	 0.61181	 0	 0
0.130000	 0.1706	 0.65597	 0.3533	 0.62349	 0	 0
0.140000	 0.1710	 0.61055	 0.3658	 0.60096	 0	 0
0.150000	 0.1931	 0.64351	 0.3703	 0.55506	 0	 0
0.160000	 0.1903	 0.59459	 0.4008	 0.56964	 0	 0
0.170000	 0.1974	 0.58072	 0.4352	 0.58271	 0	 0
0.180000	 0.2018	 0.56067	 0.4087	 0.51112	 0	 0
0.190000	 0.2309	 0.60750	 0.4515	 0.52396	 0	 0
0.200000	 0.2346	 0.58655	 0.4624	 0.50915	 0	 0
0.210000	 0.2389	 0.56879	 0.4818	 0.50569	 0	 0
0.220000	 0.2432	 0.55279	 0.5140	 0.51686	 0	 0
0.230000	 0.2533	 0.55067	 0.5203	 0.49576	 0	 0
0.240000	 0.2482	 0.51703	 0.5045	 0.46132	 0	 0
0.250000	 0.2688	 0.53760	 0.5223	 0.45009	 0	 0
0.260000	 0.2597	 0.49945	 0.5163	 0.43162	 0	 0
0.270000	 0.2516	 0.46595	 0.5571	 0.45722	 0	 0
0.280000	 0.2581	 0.46084	 0.5658	 0.44572	 0	 0
0.290000	 0.2581	 0.44504	 0.5748	 0.43806	 0	 0
0.300000	 0.2648	 0.44125	 0.5873	 0.43103	 0	 0
0.310000	 0.2903	 0.46819	 0.6084	 0.42266	 0	 0
0.320000	 0.3026	 0.47284	 0.6192	 0.41221	 0	 0
0.330000	 0.2996	 0.45399	 0.6412	 0.41772	 0	 0
0.340000	 0.3051	 0.44867	 0.6723	 0.42592	 0	 0
0.350000	 0.3154	 0.45056	 0.6731	 0.40975	 0	 0
0.360000	 0.3295	 0.45760	 0.6906	 0.40419	 0	 0
0.370000	 0.3344	 0.45193	 0.6944	 0.39361	 0	 0
0.380000	 0.3630	 0.47757	 0.7154	 0.38399	 0	 0
0.390000	 0.3533	 0.45300	 0.7193	 0.38108	 0	 0
0.400000	 0.3755	 0.46934	 0.7333	 0.37022	 0	 0
0.410000	 0.3640	 0.44394	 0.7849	 0.39778	 1	 1
0.420000	 0.3855	 0.45895	 0.7903	 0.38194	 2	 2
0.430000	 0.4006	 0.46586	 0.7976	 0.37041	 3	 3
0.440000	 0.4077	 0.46329	 0.8076	 0.36444	 4	 4
0.450000	 0.4126	 0.45840	 0.8263	 0.36450	 5	 5
0.460000	 0.4328	 0.47047	 0.8602	 0.36567	 6	 6
0.470000	 0.4271	 0.45440	 0.8400	 0.34977	 7	 7
0.480000	 0.4189	 0.43631	 0.8340	 0.34298	 8	 8
0.490000	 0.4299	 0.43870	 0.8814	 0.35541	 9	 9
0.500000	 0.4337	 0.43367	 0.9342	 0.37305	 10	 10
0.510000	 0.4184	 0.41020	 0.9280	 0.36907	 11	 11
0.520000	 0.4281	 0.41168	 0.9174	 0.35291	 12	 12
0.530000	 0.4390	 0.41415	 0.9209	 0.34349	 13	 13
0.540000	 0.4413	 0.40861	 0.9467	 0.34812	 14	 14
0.550000	 0.4570	 0.41548	 0.9719	 0.34681	 15	 15
0.560000	 0.4651	 0.41526	 0.9947	 0.34751	 16	 16
0.570000	 0.4870	 0.42716	 1.0837	 0.37129	 17	 17
0.580000	 0.4875	 0.42030	 1.0849	 0.36518	 18	 18
0.590000	 0.4752	 0.40273	 1.0717	 0.35840	 19	 19
0.600000	 0.4812	 0.40098	 1.0543	 0.34280	 20	 20


Average of all Threads:

msd = 0.82272	 meanspd = 0.80196	 mu = 0.40098	 deff = 0.34280

