#xpositions	 ypositions
0.05297	 1.74593
1.30824	 0.04637
0.05052	 -0.17929
0.05151	 -0.20716
0.05044	 1.24081
1.72175	 0.00073
0.05053	 -1.22993
0.05316	 0.60279
0.05550	 -0.43552
0.05094	 0.45042
0.05774	 1.00928
2.26331	 -0.05206
0.05212	 0.76737
0.05155	 0.36565
0.05204	 -0.37670
0.05050	 -1.59115
0.05307	 0.29124
1.17396	 -0.08843
0.05103	 -0.26015
0.05164	 -0.10407
0.05122	 0.56816
0.05090	 0.73450
0.05385	 0.54674
0.94293	 0.08439
0.84913	 -0.02578
0.05198	 -0.77092
0.05176	 -0.81819
0.05092	 -0.63560
0.05153	 -1.59449
0.05042	 -0.79458
1.32280	 -0.05399
2.39592	 -0.04536
0.05693	 0.60093
0.05092	 -1.18390
0.05011	 -0.27652
1.42653	 0.06360
0.05090	 0.38509
0.01715	 -0.05166
0.05328	 -0.31505
0.05062	 -0.60401
0.05039	 -0.47542
0.05513	 -1.01459
0.05070	 0.76777
0.05128	 0.60430
0.06785	 -0.16543
0.05195	 0.25524
2.35018	 -0.06991
0.76454	 0.08866
0.05319	 1.35176
0.05017	 0.15557
0.05035	 -0.84866
3.05230	 0.03750
0.05019	 0.68244
0.05095	 1.21106
0.05080	 1.33273
0.05861	 0.51715
0.05137	 -0.91458
0.05350	 -0.89516
0.05141	 -0.57980
0.05977	 -0.40759
0.05623	 -0.77875
0.05425	 -0.44569
0.05039	 -0.63050
0.05107	 -1.19602
0.05005	 0.54689
0.05343	 0.37667
0.05155	 -0.45920
0.05188	 -0.83193
1.72605	 -0.08980
0.05998	 -0.61824
0.05075	 0.50470
0.05115	 1.03743
0.05330	 -1.14254
0.05318	 0.14243
0.05170	 0.33464
0.05069	 0.88029
0.05089	 0.85903
0.82994	 -0.13036
0.05825	 0.21522
0.05087	 0.19094
0.05019	 1.65842
0.05389	 -1.11423
0.05294	 1.29344
0.05383	 -0.67423
0.05040	 -0.23309
0.05304	 -0.33285
0.05180	 0.84152
0.04721	 0.08122
0.05488	 0.38283
0.05172	 0.25409
0.05571	 -0.63711
0.05006	 0.22148
0.05144	 -0.25838
0.05599	 1.41992
0.05274	 -0.23011
1.23604	 0.10948
0.05561	 0.85039
0.05582	 -0.72611
2.24272	 -0.09640
0.05756	 0.57508
0.05240	 -1.08644
0.05214	 1.92368
0.64346	 0.04169
0.05119	 -0.72325
0.05118	 -1.84927
0.05024	 0.90454
2.56758	 -0.03869
0.05317	 0.67677
0.06025	 -1.28879
0.05177	 1.45498
0.06090	 1.20097
0.05162	 0.67726
0.05042	 0.67192
0.05379	 -1.16373
0.05081	 -0.42939
0.05211	 -0.32918
0.05069	 -0.31161
0.05308	 0.41445
0.05111	 0.65056
0.05047	 -0.15501
0.05387	 -0.19040
0.05314	 0.58269
0.05140	 0.31874
0.05071	 -0.76593
0.05034	 0.82086
0.05190	 -0.79411
0.05003	 0.69022
0.05067	 -0.48384
0.05048	 -0.28312
0.05223	 0.60907
0.05005	 -1.29886
1.87864	 -0.03711
0.05029	 -1.26123
0.16482	 0.12575
0.05375	 0.10585
0.05017	 0.19245
0.05288	 1.18889
0.05063	 -1.16184
0.05151	 -1.24750
0.05292	 0.53010
0.05148	 -0.51620
0.05316	 1.23101
0.05179	 1.16895
2.15849	 0.06297
0.05046	 0.68097
0.05200	 0.26764
0.05461	 1.12641
0.05199	 -0.41741
0.05114	 0.66552
0.05012	 0.77018
0.05586	 1.37908
0.05013	 1.14223
0.05261	 1.70670
0.05176	 -0.59757
0.05003	 0.98236
0.05361	 -0.66471
0.05342	 0.81543
0.05039	 -0.69801
1.59531	 -0.12469
0.05078	 1.41401
0.05133	 0.83083
0.05130	 0.52855
0.04947	 -0.07842
0.47335	 -0.08514
2.55459	 -0.00761
0.05037	 -0.37348
0.05113	 -0.50539
0.65060	 0.10815
0.05170	 -0.32721
2.82538	 0.05490
0.05166	 0.96363
0.05148	 0.22629
0.05246	 -1.03259
0.05056	 -0.40494
0.05110	 0.61718
2.29529	 -0.01756
0.13934	 -0.04578
0.05159	 -2.67989
0.05138	 -0.76446
0.05065	 -0.53827
0.05508	 -0.90878
1.25498	 0.02068
0.05042	 -0.77262
1.90341	 -0.00807
0.05295	 -0.81934
0.05005	 0.28148
0.05038	 0.55790
0.05145	 1.29028
0.05113	 0.91153
0.05525	 0.79449
0.05203	 -1.06999
0.05119	 -0.73103
0.05053	 1.34604
0.05202	 0.68627
0.05042	 -0.45317
0.05038	 0.37064
0.05185	 -0.98925
0.51128	 0.17843
0.05197	 1.12966
0.05268	 -0.62503
