#xpositions	 ypositions
0.11968	 0.76210
0.49786	 0.02007
0.11428	 0.55178
0.53680	 -0.14893
0.77803	 -0.19981
0.51640	 -0.06419
0.40643	 -0.22811
0.20072	 -0.45008
0.08103	 -0.66201
0.40985	 -0.11633
0.19722	 0.24275
0.21614	 -0.56329
0.48499	 0.27004
0.61744	 0.27761
0.27006	 0.08574
0.20402	 0.44669
0.17815	 -0.29053
0.52904	 0.26304
0.99677	 0.01412
0.78947	 0.00177
0.29068	 -0.46215
0.31644	 -0.05184
0.94392	 -0.06157
0.77256	 0.21614
0.57530	 -0.21710
0.56147	 0.22419
0.45931	 0.16486
0.46610	 -0.15337
0.23216	 -0.60529
0.29710	 0.51052
0.07215	 -0.26108
0.40144	 -0.07906
0.36280	 -0.52226
0.01133	 0.03407
0.76174	 -0.17081
0.55348	 -0.36581
0.64223	 0.35268
0.07298	 0.38279
0.68448	 -0.26427
0.36889	 -0.45407
0.40834	 0.38572
0.11616	 0.12843
0.31970	 -0.36815
0.75399	 0.21035
0.53170	 0.25038
0.55136	 -0.39481
0.23819	 -0.56201
0.80713	 -0.16756
0.41440	 0.05254
0.42515	 -0.45972
0.16114	 -0.11825
0.24190	 0.43696
0.07332	 0.81088
0.39628	 -0.25565
0.38415	 -0.45189
0.47699	 -0.26962
0.79687	 -0.03759
0.32275	 0.61843
0.38365	 0.37232
0.60178	 0.26613
0.63194	 0.23690
0.38489	 0.08900
0.25606	 -0.48557
0.80956	 0.18026
0.45847	 -0.21885
0.33926	 0.48019
0.08021	 0.80793
0.63028	 -0.22249
0.49688	 0.17433
0.71715	 0.24733
0.08196	 -0.10302
0.35609	 -0.13543
0.70659	 0.03612
0.08840	 -0.59696
0.93840	 -0.06953
0.57659	 0.28299
0.15951	 -0.43742
0.35167	 -0.52076
0.36924	 0.56875
0.45102	 0.35952
0.17657	 -0.33598
0.60373	 -0.34328
0.25862	 -0.21882
0.80790	 -0.06174
0.36732	 0.26764
0.49845	 0.40607
0.59409	 0.13311
0.19982	 0.40436
0.69731	 -0.17839
0.27062	 -0.22512
0.09167	 0.28525
0.34768	 0.33293
0.76111	 -0.12632
0.47810	 0.06907
0.41528	 -0.48185
0.35877	 0.30367
0.48891	 -0.12673
0.13754	 0.22753
0.68896	 -0.19995
0.56310	 0.11210
0.53816	 0.28524
0.42850	 -0.09307
0.47630	 -0.44539
0.46311	 0.02766
0.17605	 0.32480
0.60542	 0.05206
0.71456	 -0.08778
0.85800	 0.10965
0.29700	 0.64325
0.59220	 0.36179
0.26446	 0.08857
0.31078	 -0.51246
0.31670	 -0.27646
0.72313	 0.18032
0.15418	 0.40812
0.38211	 -0.43394
0.10954	 -0.05947
0.25427	 0.38449
0.28072	 -0.48299
0.10373	 0.09458
0.12801	 0.21810
0.66446	 -0.32609
0.05348	 0.58115
0.39675	 0.19366
0.32398	 -0.14435
0.08598	 0.59893
0.10862	 -0.56302
0.94471	 -0.05339
0.43183	 0.37199
0.15579	 0.03639
0.63267	 0.01119
0.42000	 -0.18119
0.56012	 0.21743
0.46987	 0.47922
0.14913	 0.01016
0.07429	 -0.73425
0.23842	 0.59175
0.76306	 -0.24373
0.51156	 0.16080
0.83723	 0.14431
0.31508	 0.18858
0.14320	 -0.66399
0.21974	 0.35198
0.17724	 -0.06580
0.39921	 0.24596
0.19721	 -0.46630
0.62028	 -0.07857
0.08017	 0.68937
0.79497	 -0.03707
0.42116	 0.10035
0.72612	 0.21386
0.48026	 0.17008
0.39796	 -0.31414
0.05868	 0.02234
0.65022	 -0.23549
0.39219	 -0.48139
0.07082	 0.85866
0.68057	 0.08840
0.34617	 -0.24569
0.62260	 0.26051
0.15058	 0.18732
0.22709	 -0.71514
0.41427	 -0.40189
0.84321	 -0.04749
0.74231	 0.10350
0.32997	 -0.59945
0.15575	 -0.06926
0.42468	 -0.44749
0.67816	 -0.03132
0.55141	 0.37590
0.92517	 0.08585
0.19786	 0.27317
0.28596	 -0.17582
0.84624	 0.14883
0.80299	 -0.04400
0.85609	 0.03701
0.37270	 0.18028
0.73964	 0.18463
0.07565	 -0.12032
0.47675	 0.19731
0.39568	 0.25569
0.07049	 -0.10756
0.22087	 -0.25937
0.16141	 -0.03551
0.64467	 -0.11405
0.60125	 -0.16933
0.03932	 0.05886
0.28023	 0.31215
0.81730	 0.08621
0.45226	 -0.00966
0.81395	 0.01105
0.07316	 -0.36827
0.93425	 0.01148
0.21972	 -0.25483
0.41131	 -0.22871
0.21985	 -0.05321
0.36203	 -0.20535
0.64696	 0.04604
0.22155	 -0.51439
0.78973	 -0.09122
