#time	 meanx: <x>	 meanxsquare: <x^2>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.001247	 0.023193	 0.00516	 0.00462	 0.92622	 0.00002
0.002497	 0.043060	 0.01065	 0.00879	 0.88037	 0.00003
0.003747	 0.063645	 0.01663	 0.01258	 0.83923	 0.00006
0.004997	 0.080812	 0.02308	 0.01655	 0.82780	 0.00026
0.006247	 0.100899	 0.02974	 0.01956	 0.78262	 0.00044
0.007497	 0.115967	 0.03709	 0.02364	 0.78819	 0.00056
0.008748	 0.134641	 0.04425	 0.02612	 0.74655	 0.00073
0.009998	 0.150924	 0.05199	 0.02921	 0.73048	 0.00072
0.011248	 0.168053	 0.06000	 0.03175	 0.70581	 0.00050
0.012498	 0.184800	 0.06960	 0.03544	 0.70904	 0.00073
0.013748	 0.200246	 0.07812	 0.03802	 0.69139	 0.00104
0.014998	 0.216026	 0.08850	 0.04183	 0.69733	 0.00133
0.016248	 0.232427	 0.09877	 0.04475	 0.68860	 0.00141
0.017498	 0.242914	 0.10675	 0.04774	 0.68213	 0.00137
0.018748	 0.255092	 0.11749	 0.05242	 0.69905	 0.00242
0.001250	 0.010720	 0.00442	 0.00430	 0.86046	 0.00005
0.002500	 0.026423	 0.00907	 0.00838	 0.83756	 0.00007
0.003750	 0.044482	 0.01460	 0.01262	 0.84117	 0.00009
0.005000	 0.058922	 0.01939	 0.01592	 0.79600	 0.00016
0.006250	 0.071551	 0.02433	 0.01921	 0.76824	 0.00040
0.007500	 0.088600	 0.03087	 0.02302	 0.76720	 0.00047
0.008750	 0.101985	 0.03763	 0.02723	 0.77802	 0.00085
0.010000	 0.119309	 0.04396	 0.02973	 0.74313	 0.00025
0.011250	 0.132007	 0.05061	 0.03319	 0.73749	 0.00075
0.012500	 0.150394	 0.06050	 0.03788	 0.75769	 0.00108
0.013750	 0.168673	 0.07051	 0.04206	 0.76467	 0.00188
0.015000	 0.184924	 0.07944	 0.04525	 0.75411	 0.00243
0.016250	 0.204747	 0.09256	 0.05064	 0.77912	 0.00375
0.017500	 0.220901	 0.10412	 0.05532	 0.79029	 0.00388
