#time	 xpos	 ypos
0.00005	0.30474	 -0.35132	0.38877	 0.12833	0.47684	 -0.19698	0.24959	 -0.09459	0.16642	 0.60941	
0.00011	0.31516	 -0.33328	0.37864	 0.11763	0.48199	 -0.20067	0.26293	 -0.08031	0.13555	 0.61250	
0.00016	0.34289	 -0.33063	0.40298	 0.10962	0.47107	 -0.19324	0.27478	 -0.07738	0.12071	 0.61380	
0.00021	0.37139	 -0.34330	0.39542	 0.08971	0.48145	 -0.19339	0.26998	 -0.10357	0.14495	 0.61792	
0.00026	0.38153	 -0.34474	0.39382	 0.09893	0.48842	 -0.19549	0.27728	 -0.09935	0.13985	 0.60834	
0.00032	0.39797	 -0.32206	0.39870	 0.10388	0.48532	 -0.20449	0.26266	 -0.11533	0.14507	 0.59958	
0.00037	0.38855	 -0.33723	0.40296	 0.12671	0.46270	 -0.22504	0.25626	 -0.09525	0.14687	 0.61737	
0.00042	0.40039	 -0.32431	0.40974	 0.12350	0.45759	 -0.23308	0.24568	 -0.09022	0.14568	 0.64531	
0.00047	0.37027	 -0.32555	0.43575	 0.12774	0.45228	 -0.23378	0.24314	 -0.09050	0.14440	 0.65256	
0.00053	0.36841	 -0.31888	0.42562	 0.11395	0.47752	 -0.23195	0.23440	 -0.09320	0.15771	 0.68023	
0.00058	0.36145	 -0.30485	0.39324	 0.11706	0.48190	 -0.24740	0.23799	 -0.09974	0.16904	 0.68362	
0.00063	0.37778	 -0.31384	0.39422	 0.11341	0.47479	 -0.25083	0.25893	 -0.08107	0.16634	 0.69163	
0.00068	0.37985	 -0.32051	0.40040	 0.10892	0.47267	 -0.24632	0.27800	 -0.07854	0.17780	 0.67064	
0.00074	0.37702	 -0.31659	0.41139	 0.13906	0.45794	 -0.23347	0.28759	 -0.05119	0.19149	 0.65664	
0.00079	0.36476	 -0.32007	0.39691	 0.13525	0.44701	 -0.23249	0.32204	 -0.03760	0.18444	 0.67728	
0.00084	0.36435	 -0.31644	0.40220	 0.13758	0.43923	 -0.20826	0.33416	 -0.05363	0.19312	 0.67941	
0.00089	0.36930	 -0.31884	0.41702	 0.13354	0.43294	 -0.21072	0.30413	 -0.05663	0.17402	 0.69119	
0.00095	0.37257	 -0.32059	0.42259	 0.12500	0.43163	 -0.21111	0.29426	 -0.06388	0.19970	 0.66725	
0.00100	0.35175	 -0.31358	0.44399	 0.15479	0.40892	 -0.20978	0.29847	 -0.05264	0.21029	 0.66284	
0.00105	0.37868	 -0.31545	0.45839	 0.13755	0.41134	 -0.21848	0.28479	 -0.04673	0.20803	 0.64597	
0.00110	0.38431	 -0.32571	0.43288	 0.14769	0.42215	 -0.23016	0.28892	 -0.03246	0.20792	 0.62421	
0.00115	0.38650	 -0.33431	0.44449	 0.12857	0.40161	 -0.23349	0.28356	 -0.03520	0.20134	 0.61634	
