#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.001247	 0.0530	 42.49731	 1.0624	  0
0.002497	 0.1003	 40.17573	 1.0044	  0
0.003747	 0.1490	 39.76518	 0.9941	  0
0.004997	 0.1974	 39.49060	 0.9873	  0
0.006247	 0.2403	 38.46937	 0.9617	  0
0.007497	 0.2842	 37.91053	 0.9478	  0
0.008748	 0.3240	 37.04078	 0.9260	  0
0.009998	 0.3536	 35.37105	 0.8843	  0
0.011248	 0.3870	 34.40690	 0.8602	  0
0.012498	 0.4182	 33.46240	 0.8366	  0
0.013748	 0.4440	 32.30032	 0.8075	  0
0.014998	 0.4687	 31.25349	 0.7813	  0
0.016248	 0.4887	 30.08064	 0.7520	  0
0.017498	 0.5020	 28.69058	 0.7173	  0
0.018748	 0.5158	 27.51426	 0.6879	  0
0.001250	 0.0173	 13.86878	 0.3467	  0
0.002500	 0.0310	 12.41767	 0.3104	  0
0.003750	 0.0445	 11.86855	 0.2967	  0
0.005000	 0.0563	 11.25153	 0.2813	  0
0.006250	 0.0673	 10.77110	 0.2693	  0
0.007500	 0.0793	 10.57160	 0.2643	  0
0.008750	 0.0938	 10.71762	 0.2679	  0
0.010000	 0.1056	 10.55845	 0.2640	  0
0.011250	 0.1147	 10.19660	 0.2549	  0
0.012500	 0.1240	 9.91749	 0.2479	  0
0.013750	 0.1383	 10.06024	 0.2515	  0
0.015000	 0.1465	 9.76971	 0.2442	  0
0.016250	 0.1589	 9.77758	 0.2444	  0
0.017500	 0.1681	 9.60764	 0.2402	  0
0.018750	 0.1769	 9.43357	 0.2358	  0
0.020000	 0.1881	 9.40400	 0.2351	  0
0.021250	 0.1999	 9.40840	 0.2352	  0
0.022500	 0.2079	 9.23840	 0.2310	  0
0.023750	 0.2180	 9.17825	 0.2295	  0
0.025000	 0.2247	 8.98911	 0.2247	  0
0.026250	 0.2349	 8.94724	 0.2237	  0
0.027500	 0.2447	 8.89922	 0.2225	  0
0.028750	 0.2554	 8.88462	 0.2221	  0
0.030000	 0.2648	 8.82696	 0.2207	  0
0.031250	 0.2751	 8.80385	 0.2201	  0
0.032500	 0.2869	 8.82737	 0.2207	  0
0.033750	 0.2974	 8.81129	 0.2203	  0
0.035000	 0.3082	 8.80432	 0.2201	  0
0.036250	 0.3191	 8.80255	 0.2201	  0
0.037500	 0.3284	 8.75786	 0.2189	  0
0.038750	 0.3419	 8.82223	 0.2206	  0
0.040000	 0.3512	 8.77891	 0.2195	  0
0.041250	 0.3631	 8.80305	 0.2201	  0
0.042500	 0.3729	 8.77497	 0.2194	  0
0.043750	 0.3833	 8.76191	 0.2190	  0
0.045000	 0.3954	 8.78622	 0.2197	  0
0.046250	 0.4048	 8.75273	 0.2188	  0
0.047500	 0.4143	 8.72206	 0.2181	  0
0.048750	 0.4251	 8.72008	 0.2180	  0
0.050000	 0.4353	 8.70603	 0.2177	  0
0.051250	 0.4471	 8.72320	 0.2181	  0
0.052500	 0.4581	 8.72594	 0.2181	  0
0.053750	 0.4685	 8.71694	 0.2179	  0
0.055000	 0.4770	 8.67333	 0.2168	  0
0.056250	 0.4885	 8.68410	 0.2171	  0
0.057500	 0.4976	 8.65406	 0.2164	  0
0.058750	 0.5071	 8.63131	 0.2158	  0
0.060000	 0.5182	 8.63703	 0.2159	  0
0.061250	 0.5282	 8.62439	 0.2156	  0
0.062500	 0.5357	 8.57093	 0.2143	  0
0.063750	 0.5454	 8.55505	 0.2139	  0
0.065000	 0.5590	 8.60034	 0.2150	  0
0.066250	 0.5687	 8.58432	 0.2146	  0
0.067500	 0.5768	 8.54507	 0.2136	  0
0.068750	 0.5884	 8.55869	 0.2140	  0
0.070000	 0.5980	 8.54332	 0.2136	  0
0.071250	 0.6094	 8.55301	 0.2138	  0
0.072500	 0.6193	 8.54226	 0.2136	  0
0.073750	 0.6291	 8.52960	 0.2132	  0
0.075000	 0.6385	 8.51282	 0.2128	  0
0.076250	 0.6451	 8.46002	 0.2115	  0
0.077500	 0.6553	 8.45564	 0.2114	  0
0.078750	 0.6641	 8.43283	 0.2108	  0
0.080000	 0.6738	 8.42197	 0.2105	  0
0.081250	 0.6846	 8.42535	 0.2106	  0
0.082500	 0.6947	 8.42100	 0.2105	  0
0.083750	 0.7020	 8.38247	 0.2096	  0
0.085000	 0.7101	 8.35450	 0.2089	  0
0.086250	 0.7195	 8.34180	 0.2085	  0
0.087500	 0.7307	 8.35082	 0.2088	  0
0.088750	 0.7385	 8.32094	 0.2080	  0
0.090000	 0.7449	 8.27649	 0.2069	  0
0.091250	 0.7539	 8.26220	 0.2066	  0
0.092500	 0.7651	 8.27113	 0.2068	  0
0.093750	 0.7740	 8.25586	 0.2064	  0
0.095000	 0.7844	 8.25730	 0.2064	  0
0.096250	 0.7952	 8.26156	 0.2065	  0
0.097500	 0.8052	 8.25811	 0.2065	  0
0.098750	 0.8117	 8.22009	 0.2055	  0
0.100000	 0.8253	 8.25295	 0.2063	  0
0.101250	 0.8365	 8.26218	 0.2066	  0
