#xpositions	 ypositions
0.40231	 0.02244
0.09947	 0.18311
0.27025	 -0.60246
0.65854	 -0.21217
0.19111	 -0.11121
0.43007	 0.16172
0.52511	 0.06317
0.64784	 -0.28211
0.51763	 -0.28592
0.43151	 0.31036
0.10729	 0.47122
0.72188	 -0.26226
0.06924	 -0.41343
0.75382	 -0.07978
0.39779	 0.27314
0.20645	 -0.31603
0.23388	 0.47000
0.96095	 0.05122
0.26393	 -0.39857
0.12549	 -0.46168
0.26446	 0.69159
0.50914	 -0.32249
0.10127	 -0.50068
0.37111	 0.36437
0.24195	 0.42476
0.09899	 0.23264
0.14891	 0.72920
0.25857	 0.42405
0.06145	 -0.86069
0.09884	 -0.42212
0.37666	 -0.26165
0.82231	 -0.08321
0.01835	 -0.02358
0.45714	 0.48157
0.21047	 0.60164
0.41358	 -0.42528
0.07241	 0.76655
0.16025	 0.59119
0.44119	 0.36067
0.09886	 -0.35480
0.62993	 -0.17380
0.13232	 0.79888
0.50636	 0.00928
0.91385	 0.08872
0.08407	 0.19308
0.66199	 0.07871
0.48605	 0.23517
0.24061	 -0.13676
0.34870	 -0.14057
0.11620	 -0.80350
0.55085	 -0.39032
0.39878	 -0.44491
0.25687	 0.33320
0.77501	 0.15761
0.52861	 -0.17463
0.14116	 0.52521
0.73519	 -0.19194
0.71162	 -0.05960
0.16678	 -0.61843
0.61910	 -0.32396
0.39913	 0.13282
0.08622	 -0.31369
0.67769	 -0.28826
0.06311	 -0.50588
0.78868	 0.17037
0.60327	 -0.27861
0.24470	 -0.57995
0.42011	 -0.54742
0.08195	 -0.85847
0.06492	 -0.45133
0.44351	 -0.16845
0.60107	 0.29463
0.26162	 -0.44395
0.10480	 -0.34919
0.32959	 -0.25125
0.93121	 0.06329
0.26823	 -0.19795
0.29302	 0.25694
0.13962	 -0.30365
0.25694	 0.10911
0.60299	 0.30125
0.41990	 0.20103
0.26669	 0.51651
0.10618	 -0.38772
0.27152	 0.21961
0.13303	 -0.78188
0.85161	 -0.15145
0.06361	 0.15272
0.06360	 -0.27081
0.34951	 -0.40289
0.57125	 -0.24047
0.71446	 -0.19411
0.34499	 0.21580
0.05411	 0.73533
0.23764	 0.27030
0.19179	 0.54050
0.55533	 -0.12912
0.49893	 -0.24868
0.84130	 0.01606
0.63392	 0.28450
0.06835	 -0.79817
0.07782	 0.51901
0.71163	 -0.28442
0.28418	 -0.31930
0.07952	 0.73604
0.84674	 -0.10101
0.62674	 0.25211
0.16938	 -0.53921
0.46919	 0.31779
0.20762	 0.62591
0.46330	 0.44617
0.73618	 -0.02494
0.73608	 0.18075
0.13212	 -0.32225
0.41310	 -0.36461
0.32040	 0.56492
0.50456	 -0.46093
0.08676	 0.08411
0.93176	 0.06579
0.18631	 0.00283
0.26385	 0.04271
0.47275	 0.47954
0.76130	 -0.06684
0.25310	 -0.55242
0.55468	 -0.20444
0.44593	 0.42423
0.44342	 -0.44243
0.91568	 -0.03280
0.55088	 -0.06797
0.33120	 0.52442
0.15350	 0.78819
0.31051	 -0.07552
0.55765	 -0.01394
0.83837	 0.00017
0.46318	 0.16705
0.53232	 -0.02436
0.69664	 0.01528
0.29018	 0.27222
0.34710	 0.36889
0.36139	 -0.22055
0.12115	 -0.48386
0.57423	 0.10407
0.13996	 -0.31821
0.88584	 -0.07666
0.67111	 -0.16226
0.13259	 -0.63017
0.31855	 -0.11778
0.74433	 -0.10100
0.05235	 0.05319
0.29028	 0.54900
0.23501	 -0.31826
0.45140	 -0.51170
0.49955	 -0.06014
0.64046	 -0.11508
0.74260	 0.20984
0.46643	 0.28694
0.56317	 0.32695
0.50703	 -0.40263
0.35431	 -0.40303
0.78739	 0.02679
0.48783	 -0.01644
0.06590	 0.43950
0.04879	 0.06528
0.61877	 0.20598
0.40062	 0.40689
0.83870	 0.11282
0.73058	 0.26437
0.27045	 -0.68510
0.07992	 0.59712
0.13349	 -0.04841
0.58852	 -0.02685
0.26865	 0.62704
0.90888	 -0.08002
0.47863	 -0.30362
0.58365	 -0.28606
0.16847	 0.41123
0.31994	 -0.32223
0.31606	 0.34762
0.74191	 -0.04019
0.55181	 0.12289
0.27439	 0.44601
0.60549	 -0.22978
0.42768	 -0.09429
0.38683	 0.25921
0.37741	 -0.35361
0.61117	 0.23912
0.45346	 0.06970
0.06765	 0.85612
0.18309	 0.02905
0.18006	 -0.51565
0.84152	 0.16223
0.48075	 -0.49074
0.69719	 0.07243
0.30461	 -0.31769
0.15209	 -0.07593
0.56019	 -0.20730
0.63557	 0.15505
0.25838	 -0.58148
0.14746	 0.49899
0.26978	 0.62277
