#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0391	 1.95653	 0.0288	 0.68307	 0	 0
0.019998	 0.0449	 1.12310	 0.0493	 0.59168	 0	 0
0.029997	 0.0566	 0.94272	 0.0706	 0.56162	 0	 0
0.039998	 0.0775	 0.96866	 0.0917	 0.53565	 0	 0
0.049998	 0.0590	 0.58964	 0.1047	 0.50595	 0	 0
0.059998	 0.0670	 0.55856	 0.1307	 0.52593	 0	 0
0.069998	 0.0583	 0.41628	 0.1496	 0.52203	 0	 0
0.079998	 0.0710	 0.44403	 0.1657	 0.50193	 0	 0
0.089998	 0.0814	 0.45251	 0.1712	 0.45716	 0	 0
0.099998	 0.0825	 0.41244	 0.2057	 0.49721	 0	 0
0.010000	 0.0540	 2.70101	 0.1133	 2.75987	 0	 0
0.020000	 0.0641	 1.60201	 0.1544	 1.87828	 0	 0
0.030000	 0.0794	 1.32394	 0.1767	 1.41969	 0	 0
0.040000	 0.0809	 1.01068	 0.2009	 1.21489	 0	 0
0.050000	 0.0933	 0.93313	 0.2177	 1.04479	 0	 0
0.060000	 0.0921	 0.76788	 0.2317	 0.92990	 0	 0
0.070000	 0.0911	 0.65048	 0.2462	 0.84965	 0	 0
0.080000	 0.0758	 0.47398	 0.2483	 0.75812	 0	 0
0.090000	 0.0816	 0.45321	 0.2601	 0.70390	 0	 0
0.100000	 0.1010	 0.50511	 0.2908	 0.70152	 0	 0
0.110000	 0.1406	 0.63913	 0.3045	 0.64700	 0	 0
0.120000	 0.1422	 0.59248	 0.2982	 0.57911	 0	 0
0.130000	 0.1634	 0.62853	 0.3180	 0.56027	 0	 0
0.140000	 0.1593	 0.56902	 0.3493	 0.57834	 0	 0
0.150000	 0.1695	 0.56484	 0.3795	 0.58469	 0	 0
0.160000	 0.1656	 0.51735	 0.3811	 0.55268	 0	 0
0.170000	 0.1779	 0.52320	 0.4312	 0.58765	 0	 0
0.180000	 0.1956	 0.54330	 0.4801	 0.61362	 0	 0
0.190000	 0.2298	 0.60466	 0.5234	 0.61927	 0	 0
0.200000	 0.2369	 0.59234	 0.5340	 0.59733	 0	 0
0.210000	 0.2406	 0.57296	 0.5636	 0.60196	 0	 0
0.220000	 0.2341	 0.53194	 0.5786	 0.59524	 0	 0
0.230000	 0.2388	 0.51906	 0.5862	 0.57517	 0	 0
0.240000	 0.2498	 0.52043	 0.6216	 0.58248	 0	 0
0.250000	 0.2516	 0.50317	 0.6584	 0.59509	 0	 0
0.260000	 0.2371	 0.45589	 0.6561	 0.57686	 0	 0
0.270000	 0.2548	 0.47180	 0.6936	 0.58214	 0	 0
0.280000	 0.2596	 0.46348	 0.6976	 0.56267	 0	 0
0.290000	 0.2671	 0.46059	 0.7587	 0.59256	 0	 0
0.300000	 0.2740	 0.45665	 0.8262	 0.62597	 0	 0
0.310000	 0.2561	 0.41309	 0.8155	 0.60477	 0	 0
0.320000	 0.2500	 0.39055	 0.7972	 0.57401	 0	 0
0.330000	 0.2562	 0.38811	 0.7915	 0.54989	 0	 0
0.340000	 0.2642	 0.38852	 0.7809	 0.52289	 0	 0
0.350000	 0.2619	 0.37416	 0.8184	 0.53557	 0	 0
0.360000	 0.2820	 0.39168	 0.8515	 0.53607	 0	 0
0.370000	 0.2925	 0.39522	 0.8431	 0.51184	 0	 0
0.380000	 0.3191	 0.41993	 0.8892	 0.51798	 0	 0
0.390000	 0.2990	 0.38329	 0.9047	 0.52261	 0	 0
0.400000	 0.2921	 0.36517	 0.8625	 0.48574	 0	 0
0.410000	 0.2988	 0.36434	 0.8815	 0.48309	 1	 1
0.420000	 0.3092	 0.36814	 0.9051	 0.48181	 2	 2
0.430000	 0.3320	 0.38600	 0.9718	 0.50095	 3	 3
0.440000	 0.3300	 0.37504	 0.9913	 0.50135	 4	 4
0.450000	 0.3234	 0.35931	 1.0202	 0.50868	 5	 5
0.460000	 0.3238	 0.35197	 1.0177	 0.49613	 6	 6
0.470000	 0.3277	 0.34858	 1.0418	 0.49706	 7	 7
0.480000	 0.3382	 0.35229	 1.0250	 0.47428	 8	 8
0.490000	 0.3556	 0.36281	 1.0355	 0.46382	 9	 9
0.500000	 0.3681	 0.36811	 1.0369	 0.45072	 10	 10
0.510000	 0.3742	 0.36682	 1.0248	 0.43374	 11	 11
0.520000	 0.3749	 0.36047	 1.0762	 0.44981	 12	 12
0.530000	 0.3705	 0.34949	 1.1240	 0.46545	 13	 13
0.540000	 0.3946	 0.36541	 1.1736	 0.47121	 14	 14
0.550000	 0.4055	 0.36862	 1.1947	 0.46830	 15	 15
0.560000	 0.4084	 0.36465	 1.2386	 0.47849	 16	 16
0.570000	 0.4274	 0.37490	 1.2862	 0.48400	 17	 17
0.580000	 0.4400	 0.37935	 1.3193	 0.48522	 18	 18
0.590000	 0.4312	 0.36541	 1.3225	 0.48162	 19	 19
0.600000	 0.4253	 0.35442	 1.3628	 0.49248	 20	 20


Average of all Threads:

msd = 1.18196	 meanspd = 0.70884	 mu = 0.35442	 deff = 0.49248

