#xpositions	 ypositions
0.46016	 0.35624
0.13560	 0.78716
0.16762	 -0.04992
0.12705	 0.57922
0.57565	 -0.31745
0.85801	 -0.03919
0.28404	 0.61448
0.09620	 -0.34464
0.42546	 0.51060
0.29710	 0.35787
0.19671	 -0.71661
0.56750	 0.08374
0.11634	 -0.06962
0.58204	 -0.35976
0.04279	 0.06792
0.13125	 -0.03038
0.59435	 -0.20605
0.30718	 -0.24916
0.13656	 -0.60950
0.76211	 0.20823
0.28263	 -0.36008
0.60424	 -0.24179
0.62470	 -0.08792
0.08875	 -0.33778
0.74757	 0.01186
0.21627	 0.48044
0.29894	 0.45900
0.56962	 -0.07928
0.22185	 -0.00532
0.52701	 -0.31842
0.18967	 -0.67138
0.65513	 -0.17330
0.68960	 0.28975
0.14342	 -0.47609
0.27102	 -0.50216
0.29387	 0.26701
0.18613	 -0.06669
0.52810	 -0.37195
0.51843	 0.24357
0.52478	 -0.15824
0.37297	 0.29071
0.58955	 -0.18720
0.20718	 -0.01562
0.66289	 -0.27635
0.39431	 0.14732
0.16485	 0.38231
0.16938	 0.40869
0.18310	 -0.21077
0.45301	 0.14561
0.71326	 0.08599
0.51675	 0.43686
0.30663	 -0.44126
0.78966	 -0.11551
0.44977	 0.04878
0.96661	 0.03805
0.13674	 0.04020
0.31917	 -0.35024
0.70079	 0.00994
0.11379	 0.77386
0.48482	 0.01431
0.63407	 -0.08529
0.27583	 -0.67816
0.49552	 -0.45326
0.41501	 0.49996
0.55142	 0.22178
0.76511	 -0.05276
0.70932	 0.06000
0.14225	 -0.56759
0.56252	 0.08557
0.17546	 -0.29399
0.51404	 0.00313
0.51480	 0.10173
0.64026	 0.26923
0.15007	 -0.54908
0.17037	 0.52489
0.09552	 0.66792
0.28049	 0.54222
0.12030	 -0.17267
0.01196	 -0.00118
0.68540	 0.05715
0.73725	 0.05159
0.18428	 -0.66172
0.20315	 0.14385
0.30682	 0.17985
0.47299	 -0.41530
0.51709	 -0.38731
0.29337	 -0.25030
0.35852	 -0.02006
0.07160	 -0.28265
0.32087	 0.19777
0.06967	 -0.05793
0.75642	 -0.11677
0.39655	 0.19142
0.27533	 -0.51022
0.19243	 0.36217
0.19873	 0.44556
0.05976	 -0.03920
0.19649	 -0.74985
0.11554	 0.67302
0.07325	 0.66166
0.10596	 0.56918
0.54454	 -0.07906
0.40835	 -0.05780
0.36141	 0.35595
0.38402	 0.52340
0.36572	 -0.31148
0.10300	 0.67451
0.42633	 0.26038
0.71255	 -0.21637
0.26380	 -0.47897
0.67726	 -0.26620
0.44676	 0.51237
0.83987	 0.16160
0.27656	 0.11857
0.41165	 0.48422
0.10047	 -0.43780
0.35252	 0.03395
0.22267	 0.20421
0.74375	 0.14124
0.17421	 0.21337
0.62512	 0.06525
0.18875	 -0.43308
0.15728	 -0.55044
0.28608	 -0.27158
0.21914	 -0.12090
0.23939	 -0.69042
0.06792	 0.28267
0.10007	 0.21251
0.17717	 -0.13554
0.04676	 0.02268
0.54938	 -0.14283
0.77763	 -0.20483
0.06900	 0.75772
0.66084	 0.03524
0.91009	 0.00503
0.21183	 -0.61071
0.53625	 0.02991
0.51357	 0.45129
0.72340	 -0.11454
0.36516	 -0.21313
0.28176	 0.20808
0.36521	 0.01215
0.20918	 0.07910
0.12854	 -0.27965
0.30282	 -0.15348
0.34536	 -0.26346
0.66368	 -0.11868
0.34496	 0.04733
0.88543	 -0.08109
0.45631	 0.22503
0.27558	 0.19873
0.45068	 0.36389
0.13751	 0.01952
0.08810	 0.55265
0.22521	 -0.52678
0.07638	 -0.58884
0.89880	 0.08933
0.06463	 0.67374
0.22389	 -0.35056
0.07982	 0.22593
0.72784	 0.20035
0.44156	 0.11172
0.74155	 0.10056
0.52432	 -0.13858
0.53605	 -0.21304
0.10199	 0.65279
0.19197	 -0.37147
0.79021	 -0.03729
0.40487	 -0.00641
0.23705	 -0.18013
0.68003	 0.21507
0.05379	 -0.61703
0.84638	 0.01201
0.24476	 0.69953
0.44592	 -0.18247
0.65094	 -0.02363
0.41638	 -0.42725
0.86156	 0.01018
0.27179	 0.16657
0.29341	 -0.04485
0.10234	 0.83773
0.41802	 -0.40238
0.81455	 0.12845
0.10032	 0.34846
0.30012	 0.24687
0.11830	 0.14388
0.06694	 -0.09147
0.47196	 0.12749
0.25837	 -0.21509
0.32537	 0.11383
0.73567	 -0.13826
0.27822	 -0.23713
0.17099	 -0.12233
0.06708	 0.44828
0.60071	 -0.01782
0.63468	 -0.12840
0.55651	 0.10824
0.37913	 0.24325
0.25567	 -0.61249
0.21558	 0.38990
