#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0179	 0.89496	 0.0281	 0.69523	 0	 0
0.019998	 -0.0021	 -0.05231	 0.0532	 0.66446	 0	 0
0.029997	 0.0137	 0.22851	 0.0727	 0.60456	 0	 0
0.039998	 0.0326	 0.40740	 0.1013	 0.62630	 0	 0
0.049998	 0.0372	 0.37198	 0.1158	 0.57225	 0	 0
0.059998	 0.0526	 0.43836	 0.1340	 0.54700	 0	 0
0.069998	 0.0503	 0.35895	 0.1569	 0.55147	 0	 0
0.079998	 0.0740	 0.46236	 0.1595	 0.48125	 0	 0
0.089998	 0.0788	 0.43766	 0.1794	 0.48112	 0	 0
0.099998	 0.0838	 0.41890	 0.1793	 0.43069	 0	 0
0.010000	 0.0316	 1.57844	 0.1291	 3.20197	 0	 0
0.020000	 0.0216	 0.53896	 0.1399	 1.74236	 0	 0
0.030000	 0.0329	 0.54878	 0.1544	 1.27803	 0	 0
0.040000	 0.0323	 0.40331	 0.1721	 1.06909	 0	 0
0.050000	 0.0449	 0.44874	 0.1887	 0.93346	 0	 0
0.060000	 0.0554	 0.46185	 0.2045	 0.83928	 0	 0
0.070000	 0.0830	 0.59264	 0.2315	 0.80226	 0	 0
0.080000	 0.0522	 0.32619	 0.2596	 0.80279	 0	 0
0.090000	 0.0624	 0.34688	 0.2704	 0.74034	 0	 0
0.100000	 0.0912	 0.45575	 0.2711	 0.65704	 0	 0
0.110000	 0.0970	 0.44075	 0.2919	 0.64205	 0	 0
0.120000	 0.0966	 0.40263	 0.2991	 0.60362	 0	 0
0.130000	 0.1174	 0.45139	 0.2940	 0.53881	 0	 0
0.140000	 0.1081	 0.38619	 0.3056	 0.52487	 0	 0
0.150000	 0.1336	 0.44550	 0.3465	 0.54767	 0	 0
0.160000	 0.1419	 0.44350	 0.3683	 0.54398	 0	 0
0.170000	 0.1446	 0.42521	 0.3964	 0.55221	 0	 0
0.180000	 0.1427	 0.39646	 0.3971	 0.52322	 0	 0
0.190000	 0.1259	 0.33121	 0.3999	 0.50539	 0	 0
0.200000	 0.1266	 0.31650	 0.4072	 0.48895	 0	 0
0.210000	 0.1367	 0.32554	 0.4547	 0.51900	 0	 0
0.220000	 0.1365	 0.31023	 0.4591	 0.50055	 0	 0
0.230000	 0.1777	 0.38635	 0.5043	 0.51384	 0	 0
0.240000	 0.1827	 0.38070	 0.5249	 0.51195	 0	 0
0.250000	 0.2035	 0.40697	 0.5509	 0.50954	 0	 0
0.260000	 0.2025	 0.38945	 0.5675	 0.50628	 0	 0
0.270000	 0.2152	 0.39861	 0.6403	 0.54994	 0	 0
0.280000	 0.2119	 0.37847	 0.6604	 0.54954	 0	 0
0.290000	 0.2286	 0.39421	 0.7003	 0.55862	 0	 0
0.300000	 0.2371	 0.39514	 0.6975	 0.53439	 0	 0
0.310000	 0.2458	 0.39644	 0.7320	 0.54164	 0	 0
0.320000	 0.2555	 0.39916	 0.7314	 0.52040	 0	 0
0.330000	 0.2915	 0.44162	 0.7463	 0.50103	 0	 0
0.340000	 0.3055	 0.44924	 0.7505	 0.48321	 0	 0
0.350000	 0.3099	 0.44273	 0.8149	 0.51344	 0	 0
0.360000	 0.3244	 0.45049	 0.8571	 0.52214	 0	 0
0.370000	 0.3280	 0.44325	 0.8956	 0.53242	 0	 0
0.380000	 0.3341	 0.43961	 0.9139	 0.52780	 0	 0
0.390000	 0.3524	 0.45173	 0.9531	 0.53139	 0	 0
0.400000	 0.3512	 0.43904	 0.9636	 0.52516	 0	 0
0.410000	 0.3554	 0.43340	 1.0080	 0.53762	 1	 1
0.420000	 0.3774	 0.44930	 1.0327	 0.52994	 2	 2
0.430000	 0.3765	 0.43777	 1.0508	 0.52853	 3	 3
0.440000	 0.3806	 0.43249	 1.1176	 0.55272	 4	 4
0.450000	 0.4033	 0.44809	 1.1488	 0.54786	 5	 5
0.460000	 0.4027	 0.43774	 1.1705	 0.54801	 6	 6
0.470000	 0.4156	 0.44208	 1.1542	 0.52206	 7	 7
0.480000	 0.4097	 0.42674	 1.1749	 0.52452	 8	 8
0.490000	 0.4071	 0.41542	 1.2456	 0.55093	 9	 9
0.500000	 0.4299	 0.42993	 1.2734	 0.54426	 10	 10
0.510000	 0.4255	 0.41717	 1.3429	 0.56953	 11	 11
0.520000	 0.4365	 0.41966	 1.3569	 0.56075	 12	 12
0.530000	 0.4535	 0.42779	 1.4064	 0.56639	 13	 13
0.540000	 0.4892	 0.45299	 1.4731	 0.57117	 14	 14
0.550000	 0.4809	 0.43719	 1.4523	 0.55503	 15	 15
0.560000	 0.4847	 0.43281	 1.4683	 0.55060	 16	 16
0.570000	 0.4714	 0.41347	 1.4617	 0.54364	 17	 17
0.580000	 0.4771	 0.41126	 1.4839	 0.54152	 18	 18
0.590000	 0.4769	 0.40417	 1.4449	 0.51586	 19	 19
0.600000	 0.4803	 0.40023	 1.5145	 0.53493	 20	 20


Average of all Threads:

msd = 1.28383	 meanspd = 0.80045	 mu = 0.40023	 deff = 0.53493

