#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 -0.149905	 -0.00041
0.019998	 1.431528	 -0.00329
0.029997	 1.380722	 -0.00325
0.039998	 0.921905	 0.00001
0.049998	 1.192949	 0.00222
0.059998	 1.053511	 -0.00193
0.069998	 1.169853	 0.00331
0.079998	 0.859651	 0.02160
0.089998	 0.911644	 0.01121
0.099998	 0.902096	 0.00726
0.109998	 1.101212	 0.00903
0.119998	 0.922074	 -0.00148
0.129998	 0.978417	 0.00201
0.139998	 0.970806	 0.02329
0.149997	 0.958813	 0.02650
0.159997	 0.873046	 0.05052
0.169997	 1.048052	 0.05544
0.179997	 0.899689	 0.04803
0.189997	 0.809660	 0.01840
0.199997	 0.760489	 -0.03554


Average of all Threads:

meanx = 0.15210	 meanxsqu = 0.34644	 mthree = -0.03554

